"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Australia","Gasworks Gas - Receipts from other sources","2021","Terajoules","39",""
"Australia","Gasworks Gas - Receipts from other sources","2020","Terajoules","39",""
"Australia","Gasworks Gas - Receipts from other sources","2019","Terajoules","38",""
"Australia","Gasworks Gas - Receipts from other sources","2018","Terajoules","38",""
"Australia","Gasworks Gas - Receipts from other sources","2017","Terajoules","45",""
"Australia","Gasworks Gas - Receipts from other sources","2016","Terajoules","39",""
"Australia","Gasworks Gas - Receipts from other sources","2015","Terajoules","55",""
"Australia","Gasworks Gas - Receipts from other sources","2014","Terajoules","113",""
"Australia","Gasworks Gas - Receipts from other sources","2013","Terajoules","108",""
"Australia","Gasworks Gas - Receipts from other sources","2012","Terajoules","165",""
"Australia","Gasworks Gas - Receipts from other sources","2011","Terajoules","507",""
"Australia","Gasworks Gas - Receipts from other sources","2010","Terajoules","415",""
"Australia","Gasworks Gas - Receipts from other sources","2009","Terajoules","443",""
"Australia","Gasworks Gas - Receipts from other sources","2008","Terajoules","590",""
"Australia","Gasworks Gas - Receipts from other sources","2007","Terajoules","787",""
"Australia","Gasworks Gas - Receipts from other sources","2006","Terajoules","1030",""
"Australia","Gasworks Gas - Receipts from other sources","2005","Terajoules","5103",""
"Australia","Gasworks Gas - Receipts from other sources","2004","Terajoules","5099",""
"Australia","Gasworks Gas - Receipts from other sources","2003","Terajoules","5099",""
"Australia","Gasworks Gas - Receipts from other sources","2002","Terajoules","5140",""
"Australia","Gasworks Gas - Receipts from other sources","2001","Terajoules","3337",""
"Australia","Gasworks Gas - Receipts from other sources","2000","Terajoules","3286",""
"Australia","Gasworks Gas - Receipts from other sources","1999","Terajoules","3286",""
"Australia","Gasworks Gas - Receipts from other sources","1998","Terajoules","3734",""
"Australia","Gasworks Gas - Receipts from other sources","1997","Terajoules","4756",""
"Australia","Gasworks Gas - Receipts from other sources","1996","Terajoules","5577",""
"Australia","Gasworks Gas - Receipts from other sources","1995","Terajoules","9866",""
"Australia","Gasworks Gas - Receipts from other sources","1994","Terajoules","9553",""
"Australia","Gasworks Gas - Receipts from other sources","1993","Terajoules","9741",""
"Australia","Gasworks Gas - Receipts from other sources","1992","Terajoules","8403",""
"Australia","Gasworks Gas - Receipts from other sources","1991","Terajoules","8246",""
"Australia","Gasworks Gas - Receipts from other sources","1990","Terajoules","8561",""
"Australia","Gasworks Gas - Energy industries own use","2016","Terajoules","0",""
"Australia","Gasworks Gas - Energy industries own use","2015","Terajoules","0",""
"Australia","Gasworks Gas - Energy industries own use","2014","Terajoules","0",""
"Australia","Gasworks Gas - Energy industries own use","2013","Terajoules","0",""
"Australia","Gasworks Gas - Energy industries own use","2012","Terajoules","7",""
"Australia","Gasworks Gas - Energy industries own use","2011","Terajoules","10",""
"Australia","Gasworks Gas - Energy industries own use","2010","Terajoules","13",""
"Australia","Gasworks Gas - Energy industries own use","2009","Terajoules","17",""
"Australia","Gasworks Gas - Energy industries own use","2008","Terajoules","23",""
"Australia","Gasworks Gas - Energy industries own use","2007","Terajoules","31",""
"Australia","Gasworks Gas - Energy industries own use","2006","Terajoules","40",""
"Australia","Gasworks Gas - Energy industries own use","2005","Terajoules","41",""
"Australia","Gasworks Gas - Energy industries own use","2004","Terajoules","41",""
"Australia","Gasworks Gas - Energy industries own use","2003","Terajoules","41",""
"Australia","Gasworks Gas - Energy industries own use","2002","Terajoules","40",""
"Australia","Gasworks Gas - Energy industries own use","2001","Terajoules","41",""
"Australia","Gasworks Gas - Energy industries own use","2000","Terajoules","39",""
"Australia","Gasworks Gas - Energy industries own use","1999","Terajoules","39",""
"Australia","Gasworks Gas - Energy industries own use","1998","Terajoules","43",""
"Australia","Gasworks Gas - Energy industries own use","1997","Terajoules","68",""
"Australia","Gasworks Gas - Energy industries own use","1996","Terajoules","209",""
"Australia","Gasworks Gas - Energy industries own use","1995","Terajoules","235",""
"Australia","Gasworks Gas - Energy industries own use","1994","Terajoules","227",""
"Australia","Gasworks Gas - Energy industries own use","1993","Terajoules","223",""
"Australia","Gasworks Gas - Energy industries own use","1992","Terajoules","241",""
"Australia","Gasworks Gas - Energy industries own use","1991","Terajoules","219",""
"Australia","Gasworks Gas - Energy industries own use","1990","Terajoules","365",""
"Australia","Gasworks Gas - Own use by gas works","2016","Terajoules","0",""
"Australia","Gasworks Gas - Own use by gas works","2015","Terajoules","0",""
"Australia","Gasworks Gas - Own use by gas works","2014","Terajoules","0",""
"Australia","Gasworks Gas - Own use by gas works","2013","Terajoules","0",""
"Australia","Gasworks Gas - Own use by gas works","2012","Terajoules","7",""
"Australia","Gasworks Gas - Own use by gas works","2011","Terajoules","10",""
"Australia","Gasworks Gas - Own use by gas works","2010","Terajoules","13",""
"Australia","Gasworks Gas - Own use by gas works","2009","Terajoules","17",""
"Australia","Gasworks Gas - Own use by gas works","2008","Terajoules","23",""
"Australia","Gasworks Gas - Own use by gas works","2007","Terajoules","31",""
"Australia","Gasworks Gas - Own use by gas works","2006","Terajoules","40",""
"Australia","Gasworks Gas - Own use by gas works","2005","Terajoules","41",""
"Australia","Gasworks Gas - Own use by gas works","2004","Terajoules","41",""
"Australia","Gasworks Gas - Own use by gas works","2003","Terajoules","41",""
"Australia","Gasworks Gas - Own use by gas works","2002","Terajoules","40",""
"Australia","Gasworks Gas - Own use by gas works","2001","Terajoules","41",""
"Australia","Gasworks Gas - Own use by gas works","2000","Terajoules","39",""
"Australia","Gasworks Gas - Own use by gas works","1999","Terajoules","39",""
"Australia","Gasworks Gas - Own use by gas works","1998","Terajoules","43",""
"Australia","Gasworks Gas - Own use by gas works","1997","Terajoules","68",""
"Australia","Gasworks Gas - Own use by gas works","1996","Terajoules","209",""
"Australia","Gasworks Gas - Own use by gas works","1995","Terajoules","235",""
"Australia","Gasworks Gas - Own use by gas works","1994","Terajoules","227",""
"Australia","Gasworks Gas - Own use by gas works","1993","Terajoules","223",""
"Australia","Gasworks Gas - Own use by gas works","1992","Terajoules","241",""
"Australia","Gasworks Gas - Own use by gas works","1991","Terajoules","219",""
"Australia","Gasworks Gas - Own use by gas works","1990","Terajoules","365",""
"Australia","Gasworks Gas - Final energy consumption","2021","Terajoules","39",""
"Australia","Gasworks Gas - Final energy consumption","2020","Terajoules","39",""
"Australia","Gasworks Gas - Final energy consumption","2019","Terajoules","38",""
"Australia","Gasworks Gas - Final energy consumption","2018","Terajoules","38",""
"Australia","Gasworks Gas - Final energy consumption","2017","Terajoules","45",""
"Australia","Gasworks Gas - Final energy consumption","2016","Terajoules","39",""
"Australia","Gasworks Gas - Final energy consumption","2015","Terajoules","55",""
"Australia","Gasworks Gas - Final energy consumption","2014","Terajoules","113",""
"Australia","Gasworks Gas - Final energy consumption","2013","Terajoules","108",""
"Australia","Gasworks Gas - Final energy consumption","2012","Terajoules","158",""
"Australia","Gasworks Gas - Final energy consumption","2011","Terajoules","497",""
"Australia","Gasworks Gas - Final energy consumption","2010","Terajoules","402",""
"Australia","Gasworks Gas - Final energy consumption","2009","Terajoules","491",""
"Australia","Gasworks Gas - Final energy consumption","2008","Terajoules","556",""
"Australia","Gasworks Gas - Final energy consumption","2007","Terajoules","603",""
"Australia","Gasworks Gas - Final energy consumption","2006","Terajoules","624",""
"Australia","Gasworks Gas - Final energy consumption","2005","Terajoules","6018",""
"Australia","Gasworks Gas - Final energy consumption","2004","Terajoules","5058",""
"Australia","Gasworks Gas - Final energy consumption","2003","Terajoules","5058",""
"Australia","Gasworks Gas - Final energy consumption","2002","Terajoules","5100",""
"Australia","Gasworks Gas - Final energy consumption","2001","Terajoules","3296",""
"Australia","Gasworks Gas - Final energy consumption","2000","Terajoules","3244",""
"Australia","Gasworks Gas - Final energy consumption","1999","Terajoules","3244",""
"Australia","Gasworks Gas - Final energy consumption","1998","Terajoules","3686",""
