"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Petroleum coke - Production","2020","Metric tons,  thousand","9.65",""
"Albania","Petroleum coke - Production","2019","Metric tons,  thousand","54.42",""
"Albania","Petroleum coke - Production","2018","Metric tons,  thousand","58.33",""
"Albania","Petroleum coke - Production","2017","Metric tons,  thousand","105.47",""
"Albania","Petroleum coke - Production","2016","Metric tons,  thousand","14",""
"Albania","Petroleum coke - Production","2015","Metric tons,  thousand","19",""
"Albania","Petroleum coke - Production","2014","Metric tons,  thousand","75.92",""
"Albania","Petroleum coke - Production","2013","Metric tons,  thousand","0",""
"Albania","Petroleum coke - Production","2012","Metric tons,  thousand","14.91",""
"Albania","Petroleum coke - Production","2011","Metric tons,  thousand","61.67",""
"Albania","Petroleum coke - Production","2010","Metric tons,  thousand","16.34",""
"Albania","Petroleum coke - Production","2009","Metric tons,  thousand","71.86",""
"Albania","Petroleum coke - Production","2008","Metric tons,  thousand","46.8",""
"Albania","Petroleum coke - Production","2007","Metric tons,  thousand","70",""
"Albania","Petroleum coke - Production","2006","Metric tons,  thousand","62",""
"Albania","Petroleum coke - Production","2005","Metric tons,  thousand","46",""
"Albania","Petroleum coke - Production","2004","Metric tons,  thousand","58",""
"Albania","Petroleum coke - Production","2003","Metric tons,  thousand","65",""
"Albania","Petroleum coke - Production","2002","Metric tons,  thousand","64",""
"Albania","Petroleum coke - Production","2001","Metric tons,  thousand","59",""
"Albania","Petroleum coke - Production","2000","Metric tons,  thousand","59",""
"Albania","Petroleum coke - Production","1999","Metric tons,  thousand","66",""
"Albania","Petroleum coke - Production","1998","Metric tons,  thousand","58",""
"Albania","Petroleum coke - Production","1997","Metric tons,  thousand","34",""
"Albania","Petroleum coke - Production","1996","Metric tons,  thousand","61",""
"Albania","Petroleum coke - Production","1995","Metric tons,  thousand","69",""
"Albania","Petroleum coke - production from refineries","2020","Metric tons,  thousand","9.65",""
"Albania","Petroleum coke - production from refineries","2019","Metric tons,  thousand","54.42",""
"Albania","Petroleum coke - production from refineries","2018","Metric tons,  thousand","58.33",""
"Albania","Petroleum coke - production from refineries","2017","Metric tons,  thousand","105.47",""
"Albania","Petroleum coke - production from refineries","2016","Metric tons,  thousand","14",""
"Albania","Petroleum coke - production from refineries","2015","Metric tons,  thousand","19",""
"Albania","Petroleum coke - production from refineries","2014","Metric tons,  thousand","75.92",""
"Albania","Petroleum coke - production from refineries","2013","Metric tons,  thousand","0",""
"Albania","Petroleum coke - production from refineries","2012","Metric tons,  thousand","14.91",""
"Albania","Petroleum coke - production from refineries","2011","Metric tons,  thousand","61.67",""
"Albania","Petroleum coke - production from refineries","2010","Metric tons,  thousand","16.34",""
"Albania","Petroleum coke - production from refineries","2009","Metric tons,  thousand","71.86",""
"Albania","Petroleum coke - production from refineries","2008","Metric tons,  thousand","46.8",""
"Albania","Petroleum coke - production from refineries","2007","Metric tons,  thousand","70",""
"Albania","Petroleum coke - production from refineries","2006","Metric tons,  thousand","62",""
"Albania","Petroleum coke - production from refineries","2005","Metric tons,  thousand","46",""
"Albania","Petroleum coke - production from refineries","2004","Metric tons,  thousand","58",""
"Albania","Petroleum coke - production from refineries","2003","Metric tons,  thousand","65",""
"Albania","Petroleum coke - production from refineries","2002","Metric tons,  thousand","64",""
"Albania","Petroleum coke - production from refineries","2001","Metric tons,  thousand","59",""
"Albania","Petroleum coke - production from refineries","2000","Metric tons,  thousand","59",""
"Albania","Petroleum coke - production from refineries","1999","Metric tons,  thousand","66",""
"Albania","Petroleum coke - production from refineries","1998","Metric tons,  thousand","58",""
"Albania","Petroleum coke - production from refineries","1997","Metric tons,  thousand","34",""
"Albania","Petroleum coke - production from refineries","1996","Metric tons,  thousand","61",""
"Albania","Petroleum coke - production from refineries","1995","Metric tons,  thousand","69",""
"Albania","Petroleum coke - Imports","2021","Metric tons,  thousand","28.1",""
