"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Total refinery throughput","2021","Metric tons,  thousand","55.4","1"
"Afghanistan","Total refinery throughput","2020","Metric tons,  thousand","50.9","1"
"Afghanistan","Total refinery throughput","2019","Metric tons,  thousand","118.8","1"
"Afghanistan","Total refinery throughput","2018","Metric tons,  thousand","184.8","1"
"Afghanistan","Total refinery throughput","2017","Metric tons,  thousand","116.8","1"
"Afghanistan","Total refinery throughput","2016","Metric tons,  thousand","110","1"
"Afghanistan","Total refinery throughput","2015","Metric tons,  thousand","110","1"
"Afghanistan","Total refinery throughput","2014","Metric tons,  thousand","100","1"
"Afghanistan","Total refinery throughput","2013","Metric tons,  thousand","90","1"
"Afghanistan","Total refinery throughput","2012","Metric tons,  thousand","80","1"
"Afghanistan","Total refinery throughput","2011","Metric tons,  thousand","50","1"
"Afghanistan","Total refinery output","2021","Metric tons,  thousand","50.2","1"
"Afghanistan","Total refinery output","2020","Metric tons,  thousand","46","1"
"Afghanistan","Total refinery output","2019","Metric tons,  thousand","112","1"
"Afghanistan","Total refinery output","2018","Metric tons,  thousand","176","1"
"Afghanistan","Total refinery output","2017","Metric tons,  thousand","112","1"
"Afghanistan","Total refinery output","2016","Metric tons,  thousand","106","1"
"Afghanistan","Total refinery output","2015","Metric tons,  thousand","106","1"
"Afghanistan","Total refinery output","2014","Metric tons,  thousand","96","1"
"Afghanistan","Total refinery output","2013","Metric tons,  thousand","86","1"
"Afghanistan","Total refinery output","2012","Metric tons,  thousand","76","1"
"Afghanistan","Total refinery output","2011","Metric tons,  thousand","47","1"
"Albania","Total refinery throughput","2020","Metric tons,  thousand","134.37",""
"Albania","Total refinery throughput","2019","Metric tons,  thousand","335.273",""
"Albania","Total refinery throughput","2018","Metric tons,  thousand","298",""
"Albania","Total refinery throughput","2017","Metric tons,  thousand","513.177",""
"Albania","Total refinery throughput","2016","Metric tons,  thousand","184",""
"Albania","Total refinery throughput","2015","Metric tons,  thousand","276",""
"Albania","Total refinery throughput","2014","Metric tons,  thousand","361",""
"Albania","Total refinery throughput","2013","Metric tons,  thousand","39.59",""
"Albania","Total refinery throughput","2012","Metric tons,  thousand","110.65",""
