"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Algeria","Uranium - reasonably assured reserves","2011","Metric Tons","19500",""
"Argentina","Uranium - production","2004","Metric Tons","1",""
"Argentina","Uranium - production","1998","Metric Tons","7",""
"Argentina","Uranium - production","1997","Metric Tons","30",""
"Argentina","Uranium - production","1996","Metric Tons","16",""
"Argentina","Uranium - production","1995","Metric Tons","65",""
"Argentina","Uranium - production","1994","Metric Tons","79",""
"Argentina","Uranium - production","1993","Metric Tons","126",""
"Argentina","Uranium - production","1992","Metric Tons","123",""
"Argentina","Uranium - production","1991","Metric Tons","18",""
"Argentina","Uranium - production","1990","Metric Tons","9",""
"Argentina","Uranium - reasonably assured reserves","2011","Metric Tons","8600",""
"Argentina","Uranium - estimated additional reserves","2011","Metric Tons","11000",""
"Australia","Uranium - production","2021","Metric Tons","4192",""
"Australia","Uranium - production","2020","Metric Tons","6203",""
"Australia","Uranium - production","2019","Metric Tons","6613",""
"Australia","Uranium - production","2018","Metric Tons","6517",""
"Australia","Uranium - production","2017","Metric Tons","5882",""
"Australia","Uranium - production","2016","Metric Tons","6315",""
"Australia","Uranium - production","2015","Metric Tons","5654",""
"Australia","Uranium - production","2014","Metric Tons","5001",""
"Australia","Uranium - production","2013","Metric Tons","6350",""
"Australia","Uranium - production","2012","Metric Tons","7009",""
"Australia","Uranium - production","2011","Metric Tons","5967",""
"Australia","Uranium - production","2010","Metric Tons","5900",""
"Australia","Uranium - production","2009","Metric Tons","7934",""
"Australia","Uranium - production","2008","Metric Tons","8433",""
"Australia","Uranium - production","2007","Metric Tons","8602",""
"Australia","Uranium - production","2006","Metric Tons","7593",""
"Australia","Uranium - production","2005","Metric Tons","9512",""
"Australia","Uranium - production","2004","Metric Tons","8982",""
"Australia","Uranium - production","2003","Metric Tons","7573",""
"Australia","Uranium - production","2002","Metric Tons","6854",""
"Australia","Uranium - production","2001","Metric Tons","7720",""
"Australia","Uranium - production","2000","Metric Tons","7579",""
"Australia","Uranium - production","1999","Metric Tons","5984",""
"Australia","Uranium - production","1998","Metric Tons","4894",""
"Australia","Uranium - production","1997","Metric Tons","5488",""
"Australia","Uranium - production","1996","Metric Tons","4975",""
"Australia","Uranium - production","1995","Metric Tons","3712",""
"Australia","Uranium - production","1994","Metric Tons","2208",""
"Australia","Uranium - production","1993","Metric Tons","2256",""
"Australia","Uranium - production","1992","Metric Tons","2334",""
"Australia","Uranium - production","1991","Metric Tons","3776",""
"Australia","Uranium - production","1990","Metric Tons","3530",""
"Australia","Uranium - reasonably assured reserves","2014","Metric Tons","1174000",""
"Australia","Uranium - reasonably assured reserves","2011","Metric Tons","1180100",""
"Australia","Uranium - estimated additional reserves","2011","Metric Tons","558700",""
"Belgium","Uranium - production","1998","Metric Tons","15",""
"Belgium","Uranium - production","1997","Metric Tons","27",""
"Belgium","Uranium - production","1996","Metric Tons","28",""
"Belgium","Uranium - production","1995","Metric Tons","25",""
"Belgium","Uranium - production","1994","Metric Tons","40",""
"Belgium","Uranium - production","1993","Metric Tons","34",""
"Belgium","Uranium - production","1992","Metric Tons","36",""
"Belgium","Uranium - production","1991","Metric Tons","38",""
"Belgium","Uranium - production","1990","Metric Tons","39",""
"Botswana","Uranium - reasonably assured reserves","2011","Metric Tons","23100",""
"Botswana","Uranium - estimated additional reserves","2011","Metric Tons","59100",""
"Brazil","Uranium - production","2020","Metric Tons","20",""
"Brazil","Uranium - production","2019","Metric Tons","0",""
"Brazil","Uranium - production","2018","Metric Tons","0",""
"Brazil","Uranium - production","2017","Metric Tons","0",""
"Brazil","Uranium - production","2016","Metric Tons","0",""
"Brazil","Uranium - production","2015","Metric Tons","51",""
"Brazil","Uranium - production","2014","Metric Tons","67",""
"Brazil","Uranium - production","2013","Metric Tons","234",""
"Brazil","Uranium - production","2012","Metric Tons","383",""
"Brazil","Uranium - production","2011","Metric Tons","415",""
"Brazil","Uranium - production","2010","Metric Tons","174",""
"Brazil","Uranium - production","2009","Metric Tons","338",""
"Brazil","Uranium - production","2008","Metric Tons","390",""
"Brazil","Uranium - production","2007","Metric Tons","357",""
"Brazil","Uranium - production","2006","Metric Tons","231",""
"Brazil","Uranium - production","2005","Metric Tons","129",""
"Brazil","Uranium - production","2004","Metric Tons","352",""
"Brazil","Uranium - production","2003","Metric Tons","271",""
"Brazil","Uranium - production","2002","Metric Tons","339",""
"Brazil","Uranium - production","2001","Metric Tons","66",""
"Brazil","Uranium - production","2000","Metric Tons","11",""
"Brazil","Uranium - production","1999","Metric Tons","0",""
"Brazil","Uranium - production","1998","Metric Tons","0",""
"Brazil","Uranium - production","1997","Metric Tons","0",""
"Brazil","Uranium - production","1996","Metric Tons","0",""
"Brazil","Uranium - production","1995","Metric Tons","106",""
"Brazil","Uranium - production","1994","Metric Tons","106",""
