"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Angola","Gasoline-type jet fuel - Production","2021","Metric tons,  thousand","11.467",""
"Angola","Gasoline-type jet fuel - Production","2020","Metric tons,  thousand","0",""
"Angola","Gasoline-type jet fuel - Production","2019","Metric tons,  thousand","20.406",""
"Angola","Gasoline-type jet fuel - Production","2018","Metric tons,  thousand","39.037",""
"Angola","Gasoline-type jet fuel - Production","2017","Metric tons,  thousand","71.031",""
"Angola","Gasoline-type jet fuel - Production","2016","Metric tons,  thousand","77.898",""
"Angola","Gasoline-type jet fuel - Production","2015","Metric tons,  thousand","174.285",""
"Angola","Gasoline-type jet fuel - Production","2014","Metric tons,  thousand","195.533",""
"Angola","Gasoline-type jet fuel - Production from refineries","2021","Metric tons,  thousand","11.467",""
"Angola","Gasoline-type jet fuel - Production from refineries","2020","Metric tons,  thousand","0",""
"Angola","Gasoline-type jet fuel - Production from refineries","2019","Metric tons,  thousand","20.406",""
"Angola","Gasoline-type jet fuel - Production from refineries","2018","Metric tons,  thousand","39.037",""
"Angola","Gasoline-type jet fuel - Production from refineries","2017","Metric tons,  thousand","71.031",""
"Angola","Gasoline-type jet fuel - Production from refineries","2016","Metric tons,  thousand","77.898",""
"Angola","Gasoline-type jet fuel - Production from refineries","2015","Metric tons,  thousand","174.285",""
"Angola","Gasoline-type jet fuel - Production from refineries","2014","Metric tons,  thousand","195.533",""
"Angola","Gasoline-type jet fuel - Exports","2021","Metric tons,  thousand","11.467",""
"Angola","Gasoline-type jet fuel - Exports","2020","Metric tons,  thousand","0",""
"Angola","Gasoline-type jet fuel - Exports","2019","Metric tons,  thousand","20.406","1"
"Angola","Gasoline-type jet fuel - Exports","2018","Metric tons,  thousand","39.037","1"
"Angola","Gasoline-type jet fuel - Exports","2017","Metric tons,  thousand","71.031","1"
"Angola","Gasoline-type jet fuel - Exports","2016","Metric tons,  thousand","77.898","1"
"Angola","Gasoline-type jet fuel - Exports","2015","Metric tons,  thousand","174.285","1"
"Angola","Gasoline-type jet fuel - Exports","2014","Metric tons,  thousand","195.533","1"
"Angola","Gasoline-type jet fuel - Total energy supply","2021","Metric tons,  thousand","0",""
"Angola","Gasoline-type jet fuel - Total energy supply","2020","Metric tons,  thousand","0",""
"Angola","Gasoline-type jet fuel - Total energy supply","2019","Metric tons,  thousand","0",""
"Angola","Gasoline-type jet fuel - Total energy supply","2018","Metric tons,  thousand","0",""
"Angola","Gasoline-type jet fuel - Total energy supply","2017","Metric tons,  thousand","0",""
"Angola","Gasoline-type jet fuel - Total energy supply","2016","Metric tons,  thousand","0",""
"Angola","Gasoline-type jet fuel - Total energy supply","2015","Metric tons,  thousand","0",""
"Angola","Gasoline-type jet fuel - Total energy supply","2014","Metric tons,  thousand","0",""
"Canada","Gasoline-type jet fuel - Production","2017","Metric tons,  thousand","0",""
"Canada","Gasoline-type jet fuel - Production","2016","Metric tons,  thousand","0",""
"Canada","Gasoline-type jet fuel - Production","2015","Metric tons,  thousand","0",""
"Canada","Gasoline-type jet fuel - Production","2014","Metric tons,  thousand","0",""
"Canada","Gasoline-type jet fuel - Production","2013","Metric tons,  thousand","0",""
"Canada","Gasoline-type jet fuel - Production","2012","Metric tons,  thousand","31",""
"Canada","Gasoline-type jet fuel - Production","2011","Metric tons,  thousand","12",""
"Canada","Gasoline-type jet fuel - Production","2010","Metric tons,  thousand","48",""
"Canada","Gasoline-type jet fuel - Production","2009","Metric tons,  thousand","10",""
"Canada","Gasoline-type jet fuel - Production","2008","Metric tons,  thousand","39",""
"Canada","Gasoline-type jet fuel - Production","2007","Metric tons,  thousand","14",""
"Canada","Gasoline-type jet fuel - Production","2006","Metric tons,  thousand","16",""
"Canada","Gasoline-type jet fuel - Production","2005","Metric tons,  thousand","17",""
"Canada","Gasoline-type jet fuel - Production","2004","Metric tons,  thousand","20",""
"Canada","Gasoline-type jet fuel - Production","2003","Metric tons,  thousand","22",""
"Canada","Gasoline-type jet fuel - Production","2002","Metric tons,  thousand","203",""
"Canada","Gasoline-type jet fuel - Production","2001","Metric tons,  thousand","259",""
"Canada","Gasoline-type jet fuel - Production","2000","Metric tons,  thousand","309",""
"Canada","Gasoline-type jet fuel - Production","1999","Metric tons,  thousand","250",""
"Canada","Gasoline-type jet fuel - Production","1998","Metric tons,  thousand","330",""
"Canada","Gasoline-type jet fuel - Production","1997","Metric tons,  thousand","344",""
"Canada","Gasoline-type jet fuel - Production","1996","Metric tons,  thousand","371",""
