"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Anthracite - imports","2021","Metric tons,  thousand","159.877",""
"Albania","Anthracite - imports","2020","Metric tons,  thousand","137.43",""
"Albania","Anthracite - imports","2019","Metric tons,  thousand","116.19",""
"Albania","Anthracite - imports","2018","Metric tons,  thousand","128.85",""
"Albania","Anthracite - imports","2017","Metric tons,  thousand","107.18",""
"Albania","Anthracite - imports","2016","Metric tons,  thousand","80.96",""
"Albania","Anthracite - imports","2015","Metric tons,  thousand","102.42",""
"Albania","Anthracite - imports","2014","Metric tons,  thousand","133",""
"Albania","Anthracite - imports","2013","Metric tons,  thousand","102",""
"Albania","Anthracite - exports","2018","Metric tons,  thousand","2.15",""
"Albania","Anthracite - exports","2017","Metric tons,  thousand","29.95",""
"Albania","Anthracite - exports","2015","Metric tons,  thousand","0.07",""
"Albania","Anthracite - exports","2014","Metric tons,  thousand","0.37",""
"Albania","Anthracite - final energy consumption","2020","Metric tons,  thousand","137.43",""
"Albania","Anthracite - final energy consumption","2019","Metric tons,  thousand","102.14",""
"Albania","Anthracite - final energy consumption","2018","Metric tons,  thousand","126.7",""
"Albania","Anthracite - final energy consumption","2017","Metric tons,  thousand","82.53",""
"Albania","Anthracite - final energy consumption","2016","Metric tons,  thousand","86.98",""
"Albania","Anthracite - final energy consumption","2015","Metric tons,  thousand","109.8",""
"Albania","Anthracite - final energy consumption","2014","Metric tons,  thousand","133.35",""
"Albania","Anthracite - final energy consumption","2013","Metric tons,  thousand","102",""
"Albania","Anthracite - consumption by manufacturing, construction and non-fuel industry","2020","Metric tons,  thousand","133.64",""
"Albania","Anthracite - consumption by manufacturing, construction and non-fuel industry","2019","Metric tons,  thousand","96.84",""
"Albania","Anthracite - consumption by manufacturing, construction and non-fuel industry","2018","Metric tons,  thousand","121.4",""
"Albania","Anthracite - consumption by manufacturing, construction and non-fuel industry","2017","Metric tons,  thousand","77.23",""
"Albania","Anthracite - consumption by manufacturing, construction and non-fuel industry","2016","Metric tons,  thousand","80.96",""
"Albania","Anthracite - consumption by manufacturing, construction and non-fuel industry","2015","Metric tons,  thousand","102.35",""
"Albania","Anthracite - consumption by manufacturing, construction and non-fuel industry","2014","Metric tons,  thousand","125.18",""
"Albania","Anthracite - consumption by manufacturing, construction and non-fuel industry","2013","Metric tons,  thousand","97",""
"Albania","Anthracite - consumption by other manuf., const. and non-fuel ind.","2020","Metric tons,  thousand","133.64",""
"Albania","Anthracite - consumption by other manuf., const. and non-fuel ind.","2019","Metric tons,  thousand","96.84",""
"Albania","Anthracite - consumption by other manuf., const. and non-fuel ind.","2018","Metric tons,  thousand","121.4",""
"Albania","Anthracite - consumption by other manuf., const. and non-fuel ind.","2017","Metric tons,  thousand","77.23",""
"Albania","Anthracite - consumption by other manuf., const. and non-fuel ind.","2016","Metric tons,  thousand","80.96",""
"Albania","Anthracite - consumption by other manuf., const. and non-fuel ind.","2015","Metric tons,  thousand","102.35",""
"Albania","Anthracite - consumption by other manuf., const. and non-fuel ind.","2014","Metric tons,  thousand","125.18",""
"Albania","Anthracite - consumption by other manuf., const. and non-fuel ind.","2013","Metric tons,  thousand","97",""
"Albania","Anthracite - consumption by non-metallic minerals","2020","Metric tons,  thousand","125.75",""
"Albania","Anthracite - consumption by non-metallic minerals","2019","Metric tons,  thousand","96.84",""
"Albania","Anthracite - consumption by non-metallic minerals","2018","Metric tons,  thousand","121.4",""
"Albania","Anthracite - consumption by non-metallic minerals","2017","Metric tons,  thousand","77.23",""
"Albania","Anthracite - consumption by non-metallic minerals","2016","Metric tons,  thousand","80.96",""
"Albania","Anthracite - consumption by non-metallic minerals","2015","Metric tons,  thousand","102.35",""
"Albania","Anthracite - consumption by non-metallic minerals","2014","Metric tons,  thousand","125.18",""
"Albania","Anthracite - consumption by non-metallic minerals","2013","Metric tons,  thousand","97",""
"Albania","Anthracite - consumption not elsewhere specified (industry)","2020","Metric tons,  thousand","7.89",""
"Albania","Anthracite - consumption by other","2020","Metric tons,  thousand","3.79",""
"Albania","Anthracite - consumption by other","2019","Metric tons,  thousand","5.3",""
"Albania","Anthracite - consumption by other","2018","Metric tons,  thousand","5.3",""
"Albania","Anthracite - consumption by other","2017","Metric tons,  thousand","5.3",""
"Albania","Anthracite - consumption by other","2016","Metric tons,  thousand","6.02",""
"Albania","Anthracite - consumption by other","2015","Metric tons,  thousand","7.45",""
"Albania","Anthracite - consumption by other","2014","Metric tons,  thousand","8.17",""
"Albania","Anthracite - consumption by other","2013","Metric tons,  thousand","5",""
"Albania","Anthracite - consumption in households","2014","Metric tons,  thousand","0.72",""
"Albania","Anthracite - commerce and public services","2020","Metric tons,  thousand","3.79",""
"Albania","Anthracite - commerce and public services","2019","Metric tons,  thousand","5.3",""
"Albania","Anthracite - commerce and public services","2018","Metric tons,  thousand","5.3",""
"Albania","Anthracite - commerce and public services","2017","Metric tons,  thousand","5.3",""
"Albania","Anthracite - commerce and public services","2016","Metric tons,  thousand","6.02",""
"Albania","Anthracite - commerce and public services","2015","Metric tons,  thousand","7.45",""
"Albania","Anthracite - commerce and public services","2014","Metric tons,  thousand","7.45",""
"Albania","Anthracite - commerce and public services","2013","Metric tons,  thousand","5",""
"Albania","Anthracite - Total energy supply","2021","Metric tons,  thousand","159.877",""
"Albania","Anthracite - Total energy supply","2020","Metric tons,  thousand","137.43",""
"Albania","Anthracite - Total energy supply","2019","Metric tons,  thousand","116.19",""
"Albania","Anthracite - Total energy supply","2018","Metric tons,  thousand","126.7",""
"Albania","Anthracite - Total energy supply","2017","Metric tons,  thousand","77.23",""
"Albania","Anthracite - Total energy supply","2016","Metric tons,  thousand","80.96",""
"Albania","Anthracite - Total energy supply","2015","Metric tons,  thousand","102.35",""
"Albania","Anthracite - Total energy supply","2014","Metric tons,  thousand","132.63",""
"Albania","Anthracite - Total energy supply","2013","Metric tons,  thousand","102",""
"Albania","Anthracite - Final consumption","2020","Metric tons,  thousand","137.43",""
"Albania","Anthracite - Final consumption","2019","Metric tons,  thousand","102.14",""
"Albania","Anthracite - Final consumption","2018","Metric tons,  thousand","126.7",""
"Albania","Anthracite - Final consumption","2017","Metric tons,  thousand","82.53",""
"Albania","Anthracite - Final consumption","2016","Metric tons,  thousand","86.98",""
"Albania","Anthracite - Final consumption","2015","Metric tons,  thousand","109.8",""
"Albania","Anthracite - Final consumption","2014","Metric tons,  thousand","133.35",""
"Albania","Anthracite - Final consumption","2013","Metric tons,  thousand","102",""
"Armenia","Anthracite - imports","2021","Metric tons,  thousand","15.299124",""
"Armenia","Anthracite - imports","2020","Metric tons,  thousand","11.032",""
"Armenia","Anthracite - imports","2019","Metric tons,  thousand","3.56",""
"Armenia","Anthracite - imports","2018","Metric tons,  thousand","0.781",""
"Armenia","Anthracite - imports","2017","Metric tons,  thousand","0.525",""
"Armenia","Anthracite - imports","2016","Metric tons,  thousand","0.886",""
"Armenia","Anthracite - imports","2015","Metric tons,  thousand","0.73",""
"Armenia","Anthracite - imports","2014","Metric tons,  thousand","0.55",""
"Armenia","Anthracite - imports","2013","Metric tons,  thousand","0.84",""
"Armenia","Anthracite - imports","2012","Metric tons,  thousand","2.15",""
"Armenia","Anthracite - imports","2011","Metric tons,  thousand","0.49",""
