"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Australia","Sub-bituminous coal - Production","2021","Metric tons,  thousand","24698",""
"Australia","Sub-bituminous coal - Production","2020","Metric tons,  thousand","25492",""
"Australia","Sub-bituminous coal - Production","2019","Metric tons,  thousand","26472",""
"Australia","Sub-bituminous coal - Production","2018","Metric tons,  thousand","28200",""
"Australia","Sub-bituminous coal - Production","2017","Metric tons,  thousand","28069",""
"Australia","Sub-bituminous coal - Production","2016","Metric tons,  thousand","26114",""
"Australia","Sub-bituminous coal - Production","2015","Metric tons,  thousand","22757",""
"Australia","Sub-bituminous coal - Production","2014","Metric tons,  thousand","21244",""
"Australia","Sub-bituminous coal - Production","2013","Metric tons,  thousand","22527",""
"Australia","Sub-bituminous coal - Production","2012","Metric tons,  thousand","23095",""
"Australia","Sub-bituminous coal - Production","2011","Metric tons,  thousand","23589",""
"Australia","Sub-bituminous coal - Production","2010","Metric tons,  thousand","25190",""
"Australia","Sub-bituminous coal - Production","2009","Metric tons,  thousand","48560",""
"Australia","Sub-bituminous coal - Production","2008","Metric tons,  thousand","46105",""
"Australia","Sub-bituminous coal - Production","2007","Metric tons,  thousand","47397",""
"Australia","Sub-bituminous coal - Production","2006","Metric tons,  thousand","46590",""
"Australia","Sub-bituminous coal - Production","2005","Metric tons,  thousand","44782",""
"Australia","Sub-bituminous coal - Production","2004","Metric tons,  thousand","41849",""
"Australia","Sub-bituminous coal - Production","2003","Metric tons,  thousand","39387",""
"Australia","Sub-bituminous coal - Production","2002","Metric tons,  thousand","34135",""
"Australia","Sub-bituminous coal - Production","2001","Metric tons,  thousand","31843",""
"Australia","Sub-bituminous coal - Production","2000","Metric tons,  thousand","23262",""
"Australia","Sub-bituminous coal - Production","1999","Metric tons,  thousand","22984",""
"Australia","Sub-bituminous coal - Production","1998","Metric tons,  thousand","21651",""
"Australia","Sub-bituminous coal - Production","1997","Metric tons,  thousand","21159",""
"Australia","Sub-bituminous coal - Production","1996","Metric tons,  thousand","21052",""
"Australia","Sub-bituminous coal - Production","1995","Metric tons,  thousand","19973",""
"Australia","Sub-bituminous coal - Production","1994","Metric tons,  thousand","20326",""
"Australia","Sub-bituminous coal - Production","1993","Metric tons,  thousand","18057",""
"Australia","Sub-bituminous coal - Production","1992","Metric tons,  thousand","18000",""
"Australia","Sub-bituminous coal - Production","1991","Metric tons,  thousand","17316",""
"Australia","Sub-bituminous coal - Production","1990","Metric tons,  thousand","16780",""
"Australia","Sub-bituminous coal - Stock changes","2002","Metric tons,  thousand","2934",""
"Australia","Sub-bituminous coal - Stock changes","2001","Metric tons,  thousand","1583",""
"Australia","Sub-bituminous coal - Transformation","2020","Metric tons,  thousand","22794",""
"Australia","Sub-bituminous coal - Transformation","2019","Metric tons,  thousand","23478",""
"Australia","Sub-bituminous coal - Transformation","2018","Metric tons,  thousand","25022",""
"Australia","Sub-bituminous coal - Transformation","2017","Metric tons,  thousand","25036",""
"Australia","Sub-bituminous coal - Transformation","2016","Metric tons,  thousand","23197",""
"Australia","Sub-bituminous coal - Transformation","2015","Metric tons,  thousand","20531",""
"Australia","Sub-bituminous coal - Transformation","2014","Metric tons,  thousand","18934",""
"Australia","Sub-bituminous coal - Transformation","2013","Metric tons,  thousand","20343",""
"Australia","Sub-bituminous coal - Transformation","2012","Metric tons,  thousand","20883",""
"Australia","Sub-bituminous coal - Transformation","2011","Metric tons,  thousand","21309",""
"Australia","Sub-bituminous coal - Transformation","2010","Metric tons,  thousand","22740",""
"Australia","Sub-bituminous coal - Transformation","2009","Metric tons,  thousand","45955",""
"Australia","Sub-bituminous coal - Transformation","2008","Metric tons,  thousand","43340",""
"Australia","Sub-bituminous coal - Transformation","2007","Metric tons,  thousand","44763",""
"Australia","Sub-bituminous coal - Transformation","2006","Metric tons,  thousand","44013",""
"Australia","Sub-bituminous coal - Transformation","2005","Metric tons,  thousand","42136",""
"Australia","Sub-bituminous coal - Transformation","2004","Metric tons,  thousand","39612",""
"Australia","Sub-bituminous coal - Transformation","2003","Metric tons,  thousand","37236",""
"Australia","Sub-bituminous coal - Transformation","2002","Metric tons,  thousand","28757",""
"Australia","Sub-bituminous coal - Transformation","2001","Metric tons,  thousand","27917",""
"Australia","Sub-bituminous coal - Transformation","2000","Metric tons,  thousand","20586",""
"Australia","Sub-bituminous coal - Transformation","1999","Metric tons,  thousand","20163",""
"Australia","Sub-bituminous coal - Transformation","1998","Metric tons,  thousand","18844",""
"Australia","Sub-bituminous coal - Transformation","1997","Metric tons,  thousand","18299",""
"Australia","Sub-bituminous coal - Transformation","1996","Metric tons,  thousand","18157",""
"Australia","Sub-bituminous coal - Transformation","1995","Metric tons,  thousand","17139",""
"Australia","Sub-bituminous coal - Transformation","1994","Metric tons,  thousand","17619",""
"Australia","Sub-bituminous coal - Transformation","1993","Metric tons,  thousand","15286",""
"Australia","Sub-bituminous coal - Transformation","1992","Metric tons,  thousand","15347",""
"Australia","Sub-bituminous coal - Transformation","1991","Metric tons,  thousand","14790",""
"Australia","Sub-bituminous coal - Transformation","1990","Metric tons,  thousand","14284",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2020","Metric tons,  thousand","22794",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2019","Metric tons,  thousand","23478",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2018","Metric tons,  thousand","25022",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2017","Metric tons,  thousand","25036",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2016","Metric tons,  thousand","23197",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2015","Metric tons,  thousand","20531",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2014","Metric tons,  thousand","18934",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2013","Metric tons,  thousand","20343",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2012","Metric tons,  thousand","20883",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2011","Metric tons,  thousand","21309",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2010","Metric tons,  thousand","22740",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2009","Metric tons,  thousand","45955",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2008","Metric tons,  thousand","43340",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2007","Metric tons,  thousand","44763",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2006","Metric tons,  thousand","44013",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2005","Metric tons,  thousand","42136",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2004","Metric tons,  thousand","39612",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2003","Metric tons,  thousand","37236",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2002","Metric tons,  thousand","28757",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2001","Metric tons,  thousand","27917",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","2000","Metric tons,  thousand","20586",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","1999","Metric tons,  thousand","20163",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","1998","Metric tons,  thousand","18844",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","1997","Metric tons,  thousand","18299",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","1996","Metric tons,  thousand","18157",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","1995","Metric tons,  thousand","17139",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","1994","Metric tons,  thousand","17619",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","1993","Metric tons,  thousand","15286",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","1992","Metric tons,  thousand","15347",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","1991","Metric tons,  thousand","14790",""
"Australia","Sub-bituminous coal - Transformation in electricity, CHP and heat plants","1990","Metric tons,  thousand","14284",""
"Australia","Sub-bituminous coal - Transformation in main activity electricity plants","2020","Metric tons,  thousand","22078",""
"Australia","Sub-bituminous coal - Transformation in main activity electricity plants","2019","Metric tons,  thousand","22822",""
"Australia","Sub-bituminous coal - Transformation in main activity electricity plants","2018","Metric tons,  thousand","24394",""
"Australia","Sub-bituminous coal - Transformation in main activity electricity plants","2017","Metric tons,  thousand","24446",""
"Australia","Sub-bituminous coal - Transformation in main activity electricity plants","2016","Metric tons,  thousand","22716",""
"Australia","Sub-bituminous coal - Transformation in main activity electricity plants","2015","Metric tons,  thousand","20105",""
"Australia","Sub-bituminous coal - Transformation in main activity electricity plants","2014","Metric tons,  thousand","18431",""
"Australia","Sub-bituminous coal - Transformation in main activity electricity plants","2013","Metric tons,  thousand","19803",""
