"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Belarus","Peat products - production","2020","Metric tons,  thousand","694",""
"Belarus","Peat products - production","2019","Metric tons,  thousand","962",""
"Belarus","Peat products - production","2018","Metric tons,  thousand","1055",""
"Belarus","Peat products - production","2017","Metric tons,  thousand","976",""
"Belarus","Peat products - production","2016","Metric tons,  thousand","873",""
"Belarus","Peat products - production","2015","Metric tons,  thousand","677",""
"Belarus","Peat products - production","2014","Metric tons,  thousand","852",""
"Belarus","Peat products - production","2013","Metric tons,  thousand","1117",""
"Belarus","Peat products - production","2012","Metric tons,  thousand","1392",""
"Belarus","Peat products - production","2011","Metric tons,  thousand","1362",""
"Belarus","Peat products - production","2010","Metric tons,  thousand","1317",""
"Belarus","Peat products - production","2009","Metric tons,  thousand","1257",""
"Belarus","Peat products - production","2008","Metric tons,  thousand","1183",""
"Belarus","Peat products - production","2007","Metric tons,  thousand","1162",""
"Belarus","Peat products - production","2006","Metric tons,  thousand","1246",""
"Belarus","Peat products - production","2005","Metric tons,  thousand","1207",""
"Belarus","Peat products - production","2004","Metric tons,  thousand","1149",""
"Belarus","Peat products - production","2003","Metric tons,  thousand","1100",""
"Belarus","Peat products - production","2002","Metric tons,  thousand","1034",""
"Belarus","Peat products - production","2001","Metric tons,  thousand","1103",""
"Belarus","Peat products - production","2000","Metric tons,  thousand","1253",""
"Belarus","Peat products - production","1999","Metric tons,  thousand","1256",""
"Belarus","Peat products - production","1998","Metric tons,  thousand","1288",""
"Belarus","Peat products - production","1997","Metric tons,  thousand","1515",""
"Belarus","Peat products - production","1996","Metric tons,  thousand","1515",""
"Belarus","Peat products - production","1995","Metric tons,  thousand","1535",""
"Belarus","Peat products - production","1994","Metric tons,  thousand","1632",""
"Belarus","Peat products - production","1993","Metric tons,  thousand","1888",""
"Belarus","Peat products - production","1992","Metric tons,  thousand","2081",""
"Belarus","Peat products - exports","2020","Metric tons,  thousand","64",""
"Belarus","Peat products - exports","2019","Metric tons,  thousand","120",""
"Belarus","Peat products - exports","2018","Metric tons,  thousand","164",""
"Belarus","Peat products - exports","2017","Metric tons,  thousand","109",""
"Belarus","Peat products - exports","2016","Metric tons,  thousand","94",""
"Belarus","Peat products - exports","2015","Metric tons,  thousand","87",""
"Belarus","Peat products - exports","2014","Metric tons,  thousand","105",""
"Belarus","Peat products - exports","2013","Metric tons,  thousand","166",""
"Belarus","Peat products - exports","2012","Metric tons,  thousand","393",""
"Belarus","Peat products - exports","2011","Metric tons,  thousand","339",""
"Belarus","Peat products - exports","2010","Metric tons,  thousand","386",""
"Belarus","Peat products - exports","2009","Metric tons,  thousand","492",""
"Belarus","Peat products - exports","2008","Metric tons,  thousand","349",""
"Belarus","Peat products - exports","2007","Metric tons,  thousand","221",""
"Belarus","Peat products - exports","2006","Metric tons,  thousand","211",""
"Belarus","Peat products - exports","2005","Metric tons,  thousand","245",""
"Belarus","Peat products - exports","2004","Metric tons,  thousand","258",""
"Belarus","Peat products - exports","2003","Metric tons,  thousand","154",""
"Belarus","Peat products - exports","2002","Metric tons,  thousand","72",""
"Belarus","Peat products - exports","2001","Metric tons,  thousand","3",""
"Belarus","Peat products - exports","2000","Metric tons,  thousand","1",""
"Belarus","Peat products - exports","1999","Metric tons,  thousand","1",""
"Belarus","Peat products - exports","1998","Metric tons,  thousand","15",""
"Belarus","Peat products - exports","1997","Metric tons,  thousand","79",""
"Belarus","Peat products - exports","1996","Metric tons,  thousand","60",""
"Belarus","Peat products - exports","1995","Metric tons,  thousand","15",""
"Belarus","Peat products - stock changes","2020","Metric tons,  thousand","-44",""
"Belarus","Peat products - stock changes","2019","Metric tons,  thousand","75",""
"Belarus","Peat products - stock changes","2018","Metric tons,  thousand","35",""
"Belarus","Peat products - stock changes","2017","Metric tons,  thousand","33",""
"Belarus","Peat products - stock changes","2016","Metric tons,  thousand","9",""
"Belarus","Peat products - stock changes","2015","Metric tons,  thousand","2",""
"Belarus","Peat products - stock changes","2014","Metric tons,  thousand","53",""
"Belarus","Peat products - stock changes","2013","Metric tons,  thousand","85",""
"Belarus","Peat products - stock changes","2012","Metric tons,  thousand","74",""
