"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Bitumen - Production","2021","Metric tons,  thousand","6","1"
"Afghanistan","Bitumen - Production","2020","Metric tons,  thousand","5","1"
"Afghanistan","Bitumen - Production","2019","Metric tons,  thousand","12","1"
"Afghanistan","Bitumen - Production","2018","Metric tons,  thousand","20","1"
"Afghanistan","Bitumen - Production","2017","Metric tons,  thousand","12","1"
"Afghanistan","Bitumen - Production","2016","Metric tons,  thousand","10","1"
"Afghanistan","Bitumen - Production","2015","Metric tons,  thousand","10","1"
"Afghanistan","Bitumen - Production","2014","Metric tons,  thousand","10","1"
"Afghanistan","Bitumen - Production","2013","Metric tons,  thousand","9","1"
"Afghanistan","Bitumen - Production","2012","Metric tons,  thousand","8","1"
"Afghanistan","Bitumen - Production","2011","Metric tons,  thousand","5","1"
"Afghanistan","Bitumen - production from refineries","2021","Metric tons,  thousand","6","1"
"Afghanistan","Bitumen - production from refineries","2020","Metric tons,  thousand","5","1"
"Afghanistan","Bitumen - production from refineries","2019","Metric tons,  thousand","12","1"
"Afghanistan","Bitumen - production from refineries","2018","Metric tons,  thousand","20","1"
"Afghanistan","Bitumen - production from refineries","2017","Metric tons,  thousand","12","1"
"Afghanistan","Bitumen - production from refineries","2016","Metric tons,  thousand","10","1"
"Afghanistan","Bitumen - production from refineries","2015","Metric tons,  thousand","10","1"
"Afghanistan","Bitumen - production from refineries","2014","Metric tons,  thousand","10","1"
"Afghanistan","Bitumen - production from refineries","2013","Metric tons,  thousand","9","1"
"Afghanistan","Bitumen - production from refineries","2012","Metric tons,  thousand","8","1"
"Afghanistan","Bitumen - production from refineries","2011","Metric tons,  thousand","5","1"
"Afghanistan","Bitumen - Imports","2021","Metric tons,  thousand","66","1"
"Afghanistan","Bitumen - Imports","2020","Metric tons,  thousand","65.5",""
"Afghanistan","Bitumen - Imports","2019","Metric tons,  thousand","67.6",""
"Afghanistan","Bitumen - Imports","2018","Metric tons,  thousand","54.1",""
"Afghanistan","Bitumen - Imports","2017","Metric tons,  thousand","40.3",""
"Afghanistan","Bitumen - Imports","2016","Metric tons,  thousand","24",""
"Afghanistan","Bitumen - Imports","2015","Metric tons,  thousand","42.3",""
"Afghanistan","Bitumen - Imports","2014","Metric tons,  thousand","76.3",""
"Afghanistan","Bitumen - Imports","2013","Metric tons,  thousand","192",""
"Afghanistan","Bitumen - Imports","2012","Metric tons,  thousand","47.4",""
"Afghanistan","Bitumen - Imports","2011","Metric tons,  thousand","66.8",""
"Afghanistan","Bitumen - Imports","2010","Metric tons,  thousand","78.2",""
"Afghanistan","Bitumen - Imports","2009","Metric tons,  thousand","98.2",""
"Afghanistan","Bitumen - Imports","2008","Metric tons,  thousand","49.6",""
"Afghanistan","Bitumen - Imports","2007","Metric tons,  thousand","47","1"
"Afghanistan","Bitumen - Imports","2006","Metric tons,  thousand","42","1"
"Afghanistan","Bitumen - Imports","2005","Metric tons,  thousand","37","1"
"Afghanistan","Bitumen - Imports","2004","Metric tons,  thousand","32","1"
