"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Australia","Other hydrocarbons - receipts from other sources","2019","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - receipts from other sources","2018","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - receipts from other sources","2017","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - receipts from other sources","2016","Metric tons,  thousand","132",""
"Australia","Other hydrocarbons - receipts from other sources","2015","Metric tons,  thousand","81",""
"Australia","Other hydrocarbons - receipts from other sources","2014","Metric tons,  thousand","94",""
"Australia","Other hydrocarbons - receipts from other sources","2013","Metric tons,  thousand","93",""
"Australia","Other hydrocarbons - receipts from other sources","2012","Metric tons,  thousand","15",""
"Australia","Other hydrocarbons - receipts from other sources","2011","Metric tons,  thousand","4",""
"Australia","Other hydrocarbons - transformation","2019","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - transformation","2018","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - transformation","2017","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - transformation","2016","Metric tons,  thousand","132",""
"Australia","Other hydrocarbons - transformation","2015","Metric tons,  thousand","81",""
"Australia","Other hydrocarbons - transformation","2014","Metric tons,  thousand","94",""
"Australia","Other hydrocarbons - transformation","2013","Metric tons,  thousand","93",""
"Australia","Other hydrocarbons - transformation","2012","Metric tons,  thousand","15",""
"Australia","Other hydrocarbons - transformation","2011","Metric tons,  thousand","4",""
"Australia","Other hydrocarbons - transformation in oil refineries","2019","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - transformation in oil refineries","2018","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - transformation in oil refineries","2017","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - transformation in oil refineries","2016","Metric tons,  thousand","132",""
"Australia","Other hydrocarbons - transformation in oil refineries","2015","Metric tons,  thousand","81",""
"Australia","Other hydrocarbons - transformation in oil refineries","2014","Metric tons,  thousand","94",""
"Australia","Other hydrocarbons - transformation in oil refineries","2013","Metric tons,  thousand","93",""
"Australia","Other hydrocarbons - transformation in oil refineries","2012","Metric tons,  thousand","15",""
"Australia","Other hydrocarbons - transformation in oil refineries","2011","Metric tons,  thousand","4",""
"Australia","Other hydrocarbons - total energy supply","2019","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - total energy supply","2018","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - total energy supply","2017","Metric tons,  thousand","0",""
"Australia","Other hydrocarbons - total energy supply","2016","Metric tons,  thousand","132",""
"Australia","Other hydrocarbons - total energy supply","2015","Metric tons,  thousand","81",""
"Australia","Other hydrocarbons - total energy supply","2014","Metric tons,  thousand","94",""
"Australia","Other hydrocarbons - total energy supply","2013","Metric tons,  thousand","93",""
"Australia","Other hydrocarbons - total energy supply","2012","Metric tons,  thousand","15",""
"Australia","Other hydrocarbons - total energy supply","2011","Metric tons,  thousand","4",""
"Belgium","Other hydrocarbons - receipts from other sources","2021","Metric tons,  thousand","39",""
"Belgium","Other hydrocarbons - receipts from other sources","2020","Metric tons,  thousand","50.6",""
"Belgium","Other hydrocarbons - receipts from other sources","2019","Metric tons,  thousand","53.4",""
"Belgium","Other hydrocarbons - receipts from other sources","2018","Metric tons,  thousand","33.5",""
"Belgium","Production of hydrogen - receipts from other sources","2021","Metric tons,  thousand","39",""
"Belgium","Production of hydrogen - receipts from other sources","2020","Metric tons,  thousand","50.6",""
"Belgium","Production of hydrogen - receipts from other sources","2019","Metric tons,  thousand","53.4",""
"Belgium","Production of hydrogen - receipts from other sources","2018","Metric tons,  thousand","33.5",""
"Belgium","Other hydrocarbons - transformation","2021","Metric tons,  thousand","39",""
"Belgium","Other hydrocarbons - transformation","2020","Metric tons,  thousand","50.6",""
"Belgium","Other hydrocarbons - transformation","2019","Metric tons,  thousand","53.4",""
"Belgium","Other hydrocarbons - transformation","2018","Metric tons,  thousand","33.5",""
"Belgium","Other hydrocarbons - transformation in oil refineries","2021","Metric tons,  thousand","39",""
"Belgium","Other hydrocarbons - transformation in oil refineries","2020","Metric tons,  thousand","50.6",""
"Belgium","Other hydrocarbons - transformation in oil refineries","2019","Metric tons,  thousand","53.4",""
"Belgium","Other hydrocarbons - transformation in oil refineries","2018","Metric tons,  thousand","33.5",""
"Belgium","Other hydrocarbons - total energy supply","2021","Metric tons,  thousand","39",""
"Belgium","Other hydrocarbons - total energy supply","2020","Metric tons,  thousand","50.6",""
"Belgium","Other hydrocarbons - total energy supply","2019","Metric tons,  thousand","53.4",""
"Belgium","Other hydrocarbons - total energy supply","2018","Metric tons,  thousand","33.5",""
"Brazil","Other hydrocarbons - production","2015","Metric tons,  thousand","8442",""
"Brazil","Other hydrocarbons - production","2014","Metric tons,  thousand","8914",""
"Brazil","Other hydrocarbons - production","2013","Metric tons,  thousand","9102",""
"Brazil","Other hydrocarbons - production","2012","Metric tons,  thousand","9442",""
"Brazil","Other hydrocarbons - production","2011","Metric tons,  thousand","9467",""
"Brazil","Other hydrocarbons - production","2010","Metric tons,  thousand","9483",""
"Brazil","Other hydrocarbons - production","2009","Metric tons,  thousand","9393",""
"Brazil","Other hydrocarbons - production","2008","Metric tons,  thousand","9356",""
"Brazil","Other hydrocarbons - production","2007","Metric tons,  thousand","9990",""
"Brazil","Other hydrocarbons - production","2006","Metric tons,  thousand","10080",""
"Brazil","Other hydrocarbons - production","2005","Metric tons,  thousand","10591",""
"Brazil","Other hydrocarbons - production","2004","Metric tons,  thousand","11128",""
"Brazil","Other hydrocarbons - production","2003","Metric tons,  thousand","11259",""
"Brazil","Other hydrocarbons - production","2002","Metric tons,  thousand","11110",""
"Brazil","Other hydrocarbons - production","2001","Metric tons,  thousand","10718",""
"Brazil","Other hydrocarbons - production","2000","Metric tons,  thousand","10768",""
"Brazil","Other hydrocarbons - production","1999","Metric tons,  thousand","10575",""
"Brazil","Other hydrocarbons - production","1998","Metric tons,  thousand","10820",""
"Brazil","Other hydrocarbons - production","1997","Metric tons,  thousand","10140",""
"Brazil","Other hydrocarbons - production","1996","Metric tons,  thousand","9958",""
"Brazil","Other hydrocarbons - production","1995","Metric tons,  thousand","9104",""
"Brazil","Other hydrocarbons - production","1994","Metric tons,  thousand","9089",""
"Brazil","Other hydrocarbons - production","1993","Metric tons,  thousand","8938",""
"Brazil","Other hydrocarbons - receipts from other sources","2020","Metric tons,  thousand","714",""
"Brazil","Other hydrocarbons - receipts from other sources","2019","Metric tons,  thousand","475",""
"Brazil","Other hydrocarbons - receipts from other sources","2018","Metric tons,  thousand","283",""
"Brazil","Other hydrocarbons - receipts from other sources","2017","Metric tons,  thousand","472",""
"Brazil","Other hydrocarbons - receipts from other sources","2016","Metric tons,  thousand","451",""
"Brazil","Production of hydrogen - receipts from other sources","2020","Metric tons,  thousand","714",""
"Brazil","Production of hydrogen - receipts from other sources","2019","Metric tons,  thousand","475",""
"Brazil","Production of hydrogen - receipts from other sources","2018","Metric tons,  thousand","283",""
"Brazil","Production of hydrogen - receipts from other sources","2017","Metric tons,  thousand","472",""
"Brazil","Production of hydrogen - receipts from other sources","2016","Metric tons,  thousand","451",""
"Brazil","Other hydrocarbons - transformation","2020","Metric tons,  thousand","714",""
"Brazil","Other hydrocarbons - transformation","2019","Metric tons,  thousand","475",""
"Brazil","Other hydrocarbons - transformation","2018","Metric tons,  thousand","283",""
"Brazil","Other hydrocarbons - transformation","2017","Metric tons,  thousand","472",""
"Brazil","Other hydrocarbons - transformation","2016","Metric tons,  thousand","451",""
"Brazil","Other hydrocarbons - transformation","2015","Metric tons,  thousand","8442",""
"Brazil","Other hydrocarbons - transformation","2014","Metric tons,  thousand","8914",""
"Brazil","Other hydrocarbons - transformation","2013","Metric tons,  thousand","9102",""
"Brazil","Other hydrocarbons - transformation","2012","Metric tons,  thousand","9442",""
"Brazil","Other hydrocarbons - transformation","2011","Metric tons,  thousand","9467",""
"Brazil","Other hydrocarbons - transformation","2010","Metric tons,  thousand","9483",""
"Brazil","Other hydrocarbons - transformation","2009","Metric tons,  thousand","9393",""
"Brazil","Other hydrocarbons - transformation","2008","Metric tons,  thousand","9356",""
"Brazil","Other hydrocarbons - transformation","2007","Metric tons,  thousand","9990",""
"Brazil","Other hydrocarbons - transformation","2006","Metric tons,  thousand","10080",""
"Brazil","Other hydrocarbons - transformation","2005","Metric tons,  thousand","10591",""
"Brazil","Other hydrocarbons - transformation","2004","Metric tons,  thousand","11128",""
"Brazil","Other hydrocarbons - transformation","2003","Metric tons,  thousand","11259",""
"Brazil","Other hydrocarbons - transformation","2002","Metric tons,  thousand","11110",""
"Brazil","Other hydrocarbons - transformation","2001","Metric tons,  thousand","10718",""
