"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2021","Metric tons,  thousand","3.4","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2020","Metric tons,  thousand","3.2","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2019","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2018","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2017","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2016","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2015","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2014","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2013","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2012","Metric tons,  thousand","3",""
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2011","Metric tons,  thousand","3",""
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2010","Metric tons,  thousand","3",""
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2009","Metric tons,  thousand","3",""
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2008","Metric tons,  thousand","3",""
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2007","Metric tons,  thousand","4","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2006","Metric tons,  thousand","4","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2005","Metric tons,  thousand","4","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2004","Metric tons,  thousand","5","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2003","Metric tons,  thousand","5","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2002","Metric tons,  thousand","5","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2001","Metric tons,  thousand","6","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","2000","Metric tons,  thousand","7","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","1999","Metric tons,  thousand","7","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","1998","Metric tons,  thousand","7","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","1997","Metric tons,  thousand","8","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","1996","Metric tons,  thousand","8","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","1995","Metric tons,  thousand","8","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","1994","Metric tons,  thousand","9","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","1993","Metric tons,  thousand","10","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","1992","Metric tons,  thousand","11",""
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","1991","Metric tons,  thousand","10","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Imports","1990","Metric tons,  thousand","9","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2021","Metric tons,  thousand","3.4","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2020","Metric tons,  thousand","3.2","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2019","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2018","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2017","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2016","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2015","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2014","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2013","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2012","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2011","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2010","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2009","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2008","Metric tons,  thousand","3","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2007","Metric tons,  thousand","4","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2006","Metric tons,  thousand","4","1"
"Afghanistan","White spirit and special boiling point industrial spirits - Non-energy uses","2005","Metric tons,  thousand","4","1"
