"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Brown coal - production","2014","Metric tons,  thousand","0",""
"Albania","Brown coal - production","2013","Metric tons,  thousand","3",""
"Albania","Brown coal - production","2012","Metric tons,  thousand","6.63",""
"Albania","Brown coal - production","2011","Metric tons,  thousand","6.8",""
"Albania","Brown coal - production","2010","Metric tons,  thousand","13.6",""
"Albania","Brown coal - production","2009","Metric tons,  thousand","13.6",""
"Albania","Brown coal - production","2008","Metric tons,  thousand","85",""
"Albania","Brown coal - production","2007","Metric tons,  thousand","64",""
"Albania","Brown coal - production","2006","Metric tons,  thousand","64",""
"Albania","Brown coal - production","2005","Metric tons,  thousand","64",""
"Albania","Brown coal - production","2004","Metric tons,  thousand","81",""
"Albania","Brown coal - production","2003","Metric tons,  thousand","81",""
"Albania","Brown coal - production","2002","Metric tons,  thousand","77",""
"Albania","Brown coal - production","2001","Metric tons,  thousand","21",""
"Albania","Brown coal - production","2000","Metric tons,  thousand","30",""
"Albania","Brown coal - production","1999","Metric tons,  thousand","49",""
"Albania","Brown coal - production","1998","Metric tons,  thousand","49",""
"Albania","Brown coal - production","1997","Metric tons,  thousand","39",""
"Albania","Brown coal - production","1996","Metric tons,  thousand","113",""
"Albania","Brown coal - production","1995","Metric tons,  thousand","163",""
"Albania","Brown coal - production","1994","Metric tons,  thousand","169",""
"Albania","Brown coal - production","1993","Metric tons,  thousand","600",""
"Albania","Brown coal - production","1992","Metric tons,  thousand","800",""
"Albania","Brown coal - production","1991","Metric tons,  thousand","1087",""
"Albania","Brown coal - production","1990","Metric tons,  thousand","2070","1"
"Albania","Brown coal - imports","2007","Metric tons,  thousand","13",""
"Albania","Brown coal - imports","2006","Metric tons,  thousand","13",""
"Albania","Brown coal - imports","2005","Metric tons,  thousand","13",""
"Albania","Brown coal - imports","2004","Metric tons,  thousand","9",""
"Albania","Brown coal - imports","2003","Metric tons,  thousand","9",""
"Albania","Brown coal - imports","2002","Metric tons,  thousand","13",""
"Albania","Brown coal - imports","2001","Metric tons,  thousand","64",""
"Albania","Brown coal - imports","2000","Metric tons,  thousand","43",""
"Albania","Brown coal - imports","1999","Metric tons,  thousand","70",""
"Albania","Brown coal - exports","1994","Metric tons,  thousand","0",""
"Albania","Brown coal - exports","1993","Metric tons,  thousand","8",""
"Albania","Brown coal - exports","1992","Metric tons,  thousand","100",""
"Albania","Brown coal - exports","1991","Metric tons,  thousand","100",""
"Albania","Brown coal - exports","1990","Metric tons,  thousand","300","1"
"Albania","Brown coal - transformation","2002","Metric tons,  thousand","14",""
"Albania","Brown coal - transformation","2001","Metric tons,  thousand","17",""
"Albania","Brown coal - transformation","2000","Metric tons,  thousand","13",""
"Albania","Brown coal - transformation","1999","Metric tons,  thousand","19",""
"Albania","Brown coal - transformation","1998","Metric tons,  thousand","0",""
"Albania","Brown coal - Other transformation","2002","Metric tons,  thousand","14",""
"Albania","Brown coal - Other transformation","2001","Metric tons,  thousand","17",""
"Albania","Brown coal - Other transformation","2000","Metric tons,  thousand","13",""
"Albania","Brown coal - Other transformation","1999","Metric tons,  thousand","19",""
"Albania","Brown coal - Other transformation","1998","Metric tons,  thousand","0",""
"Albania","Brown coal - energy industries own use","2004","Metric tons,  thousand","0",""
"Albania","Brown coal - energy industries own use","2003","Metric tons,  thousand","13",""
"Albania","Brown coal - energy industries own use","2002","Metric tons,  thousand","13",""
"Albania","Brown coal - energy industries own use","2001","Metric tons,  thousand","13",""
"Albania","Brown coal - energy industries own use","2000","Metric tons,  thousand","9",""
"Albania","Brown coal - energy industries own use","1999","Metric tons,  thousand","11",""
"Albania","Brown coal - energy industries own use","1998","Metric tons,  thousand","0",""
"Albania","Brown coal - own use by coal mines","2004","Metric tons,  thousand","0",""
"Albania","Brown coal - own use by electricity, CHP and heat plants","2003","Metric tons,  thousand","13",""
