"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Armenia","Animal waste - Production","2020","Terajoules","387.8",""
"Armenia","Animal waste - Production","2019","Terajoules","871.315",""
"Armenia","Animal waste - Production","2018","Terajoules","1289.328",""
"Armenia","Animal waste - Production","2017","Terajoules","2427.783",""
"Armenia","Animal waste - Production","2016","Terajoules","2195.136",""
"Armenia","Animal waste - Production","2015","Terajoules","1307.467",""
"Armenia","Animal waste - Production","2014","Terajoules","82",""
"Armenia","Animal waste - Imports","2013","Terajoules","30.328",""
"Armenia","Animal waste - Imports","2012","Terajoules","20.4",""
"Armenia","Animal waste - Exports","2013","Terajoules","57.256",""
"Armenia","Animal waste - Exports","2012","Terajoules","59.024",""
"Armenia","Animal waste - Final energy consumption","2020","Terajoules","387.8",""
"Armenia","Animal waste - Final energy consumption","2019","Terajoules","871.315",""
"Armenia","Animal waste - Final energy consumption","2018","Terajoules","1289.328",""
"Armenia","Animal waste - Final energy consumption","2017","Terajoules","2427.783",""
"Armenia","Animal waste - Final energy consumption","2016","Terajoules","2195.136",""
"Armenia","Animal waste - Final energy consumption","2015","Terajoules","1307.467",""
"Armenia","Animal waste - Final energy consumption","2014","Terajoules","82",""
"Armenia","Animal waste - Consumption by other","2020","Terajoules","387.8",""
"Armenia","Animal waste - Consumption by other","2019","Terajoules","871.315",""
"Armenia","Animal waste - Consumption by other","2018","Terajoules","1289.328",""
"Armenia","Animal waste - Consumption by other","2017","Terajoules","2427.783",""
"Armenia","Animal waste - Consumption by other","2016","Terajoules","2195.136",""
"Armenia","Animal waste - Consumption by other","2015","Terajoules","1307.467",""
"Armenia","Animal waste - Consumption by other","2014","Terajoules","82",""
"Armenia","Animal waste - Consumption by households","2020","Terajoules","387.8",""
"Armenia","Animal waste - Consumption by households","2019","Terajoules","871.315",""
"Armenia","Animal waste - Consumption by households","2018","Terajoules","1289.328",""
"Armenia","Animal waste - Consumption by households","2017","Terajoules","2427.783",""
"Armenia","Animal waste - Consumption by households","2016","Terajoules","2195.136",""
"Armenia","Animal waste - Consumption by households","2015","Terajoules","1307.467",""
"Armenia","Animal waste - Consumption by households","2014","Terajoules","82",""
"Armenia","Animal waste - Total energy supply","2020","Terajoules","387.8",""
"Armenia","Animal waste - Total energy supply","2019","Terajoules","871.315",""
"Armenia","Animal waste - Total energy supply","2018","Terajoules","1289.328",""
"Armenia","Animal waste - Total energy supply","2017","Terajoules","2427.783",""
"Armenia","Animal waste - Total energy supply","2016","Terajoules","2195.136",""
"Armenia","Animal waste - Total energy supply","2015","Terajoules","1307.467",""
"Armenia","Animal waste - Total energy supply","2014","Terajoules","82",""
"Armenia","Animal waste - Total energy supply","2013","Terajoules","-26.928",""
"Armenia","Animal waste - Total energy supply","2012","Terajoules","-38.624",""
"Armenia","Animal waste - Final consumption","2020","Terajoules","387.8",""
