"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Angola","Vegetal waste - Production","2020","Terajoules","107797",""
"Angola","Vegetal waste - Production","2019","Terajoules","106421.264",""
"Angola","Vegetal waste - Production","2018","Terajoules","105044.4",""
"Angola","Vegetal waste - Production","2017","Terajoules","103650.4",""
"Angola","Vegetal waste - Production","2016","Terajoules","102127",""
"Angola","Vegetal waste - Production","2015","Terajoules","100681",""
"Angola","Vegetal waste - Production","2014","Terajoules","99191",""
"Angola","Vegetal waste - Production","2013","Terajoules","97667",""
"Angola","Vegetal waste - Production","2012","Terajoules","96099",""
"Angola","Vegetal waste - Production","2011","Terajoules","94510",""
"Angola","Vegetal waste - Production","2010","Terajoules","92916",""
"Angola","Vegetal waste - Production","2009","Terajoules","91327",""
"Angola","Vegetal waste - Production","2008","Terajoules","89745",""
"Angola","Vegetal waste - Production","2007","Terajoules","88177",""
"Angola","Vegetal waste - Production","2006","Terajoules","86612",""
"Angola","Vegetal waste - Production","2005","Terajoules","85055",""
"Angola","Vegetal waste - Production","2004","Terajoules","84255",""
"Angola","Vegetal waste - Production","2003","Terajoules","83424",""
"Angola","Vegetal waste - Production","2002","Terajoules","82590",""
"Angola","Vegetal waste - Production","2001","Terajoules","81813",""
"Angola","Vegetal waste - Production","2000","Terajoules","81130",""
"Angola","Vegetal waste - Production","1999","Terajoules","80583",""
"Angola","Vegetal waste - Production","1998","Terajoules","80152",""
"Angola","Vegetal waste - Production","1997","Terajoules","79773",""
"Angola","Vegetal waste - Production","1996","Terajoules","79334",""
"Angola","Vegetal waste - Production","1995","Terajoules","78761",""
"Angola","Vegetal waste - Production","1994","Terajoules","78000",""
"Angola","Vegetal waste - Production","1993","Terajoules","76395",""
"Angola","Vegetal waste - Production","1992","Terajoules","74657",""
"Angola","Vegetal waste - Production","1991","Terajoules","72957",""
"Angola","Vegetal waste - Production","1990","Terajoules","71294",""
"Angola","Vegetal waste - Final energy consumption","2020","Terajoules","107797","1"
"Angola","Vegetal waste - Final energy consumption","2019","Terajoules","106421.264","1"
"Angola","Vegetal waste - Final energy consumption","2018","Terajoules","105044.4","1"
"Angola","Vegetal waste - Final energy consumption","2017","Terajoules","103650.4","1"
"Angola","Vegetal waste - Final energy consumption","2016","Terajoules","102127","1"
