"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Peat (for fuel use) - recoverable","2002","Metric tons,  thousand","155000",""
"Albania","Peat (for fuel use) - recoverable","2001","Metric tons,  thousand","155000",""
"Albania","Peat (for fuel use) - recoverable","2000","Metric tons,  thousand","155000",""
"Albania","Peat (for fuel use) - recoverable","1999","Metric tons,  thousand","155000",""
"Albania","Peat (for fuel use) - recoverable","1998","Metric tons,  thousand","155000",""
"Albania","Peat (for fuel use) - recoverable","1997","Metric tons,  thousand","155000",""
"Albania","Peat (for fuel use) - recoverable","1996","Metric tons,  thousand","155000",""
"Albania","Peat (for fuel use) - recoverable","1995","Metric tons,  thousand","155000",""
"Argentina","Peat (for fuel use) - total resources in place","1997","Metric tons,  thousand","140000",""
"Argentina","Peat (for fuel use) - total resources in place","1993","Metric tons,  thousand","140000",""
"Argentina","Peat (for fuel use) - total resources in place","1990","Metric tons,  thousand","140000",""
"Argentina","Peat (for fuel use) - total known reserves","1997","Metric tons,  thousand","90000",""
"Argentina","Peat (for fuel use) - total known reserves","1993","Metric tons,  thousand","90000",""
"Argentina","Peat (for fuel use) - total known reserves","1990","Metric tons,  thousand","90000",""
"Argentina","Peat (for fuel use) - recoverable","2002","Metric tons,  thousand","80000","1"
"Argentina","Peat (for fuel use) - recoverable","2001","Metric tons,  thousand","80000",""
"Argentina","Peat (for fuel use) - recoverable","2000","Metric tons,  thousand","80000",""
"Argentina","Peat (for fuel use) - recoverable","1999","Metric tons,  thousand","80000",""
"Argentina","Peat (for fuel use) - recoverable","1998","Metric tons,  thousand","80000",""
"Argentina","Peat (for fuel use) - recoverable","1997","Metric tons,  thousand","80000",""
"Argentina","Peat (for fuel use) - recoverable","1993","Metric tons,  thousand","80000",""
"Argentina","Peat (for fuel use) - recoverable","1990","Metric tons,  thousand","80000",""
"Argentina","Peat (for fuel use) - additional resources","1997","Metric tons,  thousand","50000",""
"Argentina","Peat (for fuel use) - additional resources","1993","Metric tons,  thousand","50000",""
"Argentina","Peat (for fuel use) - additional resources","1990","Metric tons,  thousand","50000",""
"Armenia","Peat - production","2013","Metric tons,  thousand","0",""
"Armenia","Peat - production","2012","Metric tons,  thousand","1","1"
"Armenia","Peat - production","2011","Metric tons,  thousand","1","1"
"Armenia","Peat - production","2010","Metric tons,  thousand","1","1"
"Armenia","Peat - production","2009","Metric tons,  thousand","1","1"
"Armenia","Peat - production","2008","Metric tons,  thousand","1","1"
"Armenia","Peat - imports","2013","Metric tons,  thousand","0.55",""
"Armenia","Peat - imports","2012","Metric tons,  thousand","0.41",""
"Armenia","Peat - imports","2011","Metric tons,  thousand","0.28",""
"Armenia","Peat - imports","2010","Metric tons,  thousand","0.01",""
"Armenia","Peat - imports","2009","Metric tons,  thousand","0.244",""
"Armenia","Peat - imports","2008","Metric tons,  thousand","0.0339",""
"Armenia","Peat - imports","2007","Metric tons,  thousand","0.0288",""
"Armenia","Peat - imports","2006","Metric tons,  thousand","0.0032",""
"Armenia","Peat - imports","2005","Metric tons,  thousand","0",""
"Armenia","Peat - imports","2004","Metric tons,  thousand","0.001",""
"Armenia","Peat - exports","2013","Metric tons,  thousand","0.21",""
"Armenia","Peat - exports","2012","Metric tons,  thousand","1.03",""
"Armenia","Peat - exports","2011","Metric tons,  thousand","0.86",""
"Armenia","Peat - exports","2010","Metric tons,  thousand","0.008",""
"Armenia","Peat - exports","2009","Metric tons,  thousand","0",""
"Armenia","Peat - exports","2008","Metric tons,  thousand","0",""
"Armenia","Peat - exports","2007","Metric tons,  thousand","0",""
"Armenia","Peat - exports","2006","Metric tons,  thousand","0",""
"Armenia","Peat - exports","2005","Metric tons,  thousand","0",""
"Armenia","Peat - exports","2004","Metric tons,  thousand","0",""
"Armenia","Peat - final energy consumption","2013","Metric tons,  thousand","0.34","1"
"Armenia","Peat - final energy consumption","2012","Metric tons,  thousand","0.41","1"
"Armenia","Peat - final energy consumption","2011","Metric tons,  thousand","0.28","1"
