"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Other oil products n.e.c. - Production","2021","Metric tons,  thousand","132.8",""
"Albania","Other oil products n.e.c. - Production","2020","Metric tons,  thousand","15.02",""
"Albania","Other oil products n.e.c. - Production","2019","Metric tons,  thousand","57.92",""
"Albania","Other oil products n.e.c. - Production","2018","Metric tons,  thousand","66.25",""
"Albania","Other oil products n.e.c. - Production","2017","Metric tons,  thousand","102.86",""
"Albania","Other oil products n.e.c. - Production","2016","Metric tons,  thousand","56",""
"Albania","Other oil products n.e.c. - Production","2015","Metric tons,  thousand","92",""
"Albania","Other oil products n.e.c. - Production","2014","Metric tons,  thousand","78.07",""
"Albania","Other oil products n.e.c. - Production","2013","Metric tons,  thousand","10.35",""
"Albania","Other oil products n.e.c. - Production","2012","Metric tons,  thousand","41.81",""
"Albania","Other oil products n.e.c. - Production","2011","Metric tons,  thousand","85.8",""
"Albania","Other oil products n.e.c. - Production","2010","Metric tons,  thousand","43.73",""
"Albania","Other oil products n.e.c. - Production","2009","Metric tons,  thousand","90.61",""
"Albania","Other oil products n.e.c. - Production","2008","Metric tons,  thousand","94.4",""
"Albania","Other oil products n.e.c. - Production","2007","Metric tons,  thousand","115",""
"Albania","Other oil products n.e.c. - Production","2006","Metric tons,  thousand","100",""
"Albania","Other oil products n.e.c. - Production","2005","Metric tons,  thousand","92",""
"Albania","Other oil products n.e.c. - Production","2004","Metric tons,  thousand","46",""
"Albania","Other oil products n.e.c. - Production","2003","Metric tons,  thousand","58",""
"Albania","Other oil products n.e.c. - Production","2002","Metric tons,  thousand","83",""
"Albania","Other oil products n.e.c. - Production","2001","Metric tons,  thousand","46",""
"Albania","Other oil products n.e.c. - Production","2000","Metric tons,  thousand","47",""
"Albania","Other oil products n.e.c. - Production","1999","Metric tons,  thousand","46",""
"Albania","Other oil products n.e.c. - Production","1998","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - production from refineries","2021","Metric tons,  thousand","132.8",""
"Albania","Other oil products n.e.c. - production from refineries","2020","Metric tons,  thousand","15.02",""
"Albania","Other oil products n.e.c. - production from refineries","2019","Metric tons,  thousand","57.92",""
"Albania","Other oil products n.e.c. - production from refineries","2018","Metric tons,  thousand","66.25",""
"Albania","Other oil products n.e.c. - production from refineries","2017","Metric tons,  thousand","102.86",""
"Albania","Other oil products n.e.c. - production from refineries","2016","Metric tons,  thousand","56",""
"Albania","Other oil products n.e.c. - production from refineries","2015","Metric tons,  thousand","92",""
"Albania","Other oil products n.e.c. - production from refineries","2014","Metric tons,  thousand","78.07",""
"Albania","Other oil products n.e.c. - production from refineries","2013","Metric tons,  thousand","10.35",""
"Albania","Other oil products n.e.c. - production from refineries","2012","Metric tons,  thousand","41.81",""
"Albania","Other oil products n.e.c. - production from refineries","2011","Metric tons,  thousand","85.8",""
"Albania","Other oil products n.e.c. - production from refineries","2010","Metric tons,  thousand","43.73",""
"Albania","Other oil products n.e.c. - production from refineries","2009","Metric tons,  thousand","90.61",""
"Albania","Other oil products n.e.c. - production from refineries","2008","Metric tons,  thousand","94.4",""
"Albania","Other oil products n.e.c. - production from refineries","2007","Metric tons,  thousand","115",""
"Albania","Other oil products n.e.c. - production from refineries","2006","Metric tons,  thousand","100",""
"Albania","Other oil products n.e.c. - production from refineries","2005","Metric tons,  thousand","92",""
"Albania","Other oil products n.e.c. - production from refineries","2004","Metric tons,  thousand","46",""
"Albania","Other oil products n.e.c. - production from refineries","2003","Metric tons,  thousand","58",""
"Albania","Other oil products n.e.c. - production from refineries","2002","Metric tons,  thousand","83",""
"Albania","Other oil products n.e.c. - production from refineries","2001","Metric tons,  thousand","46",""
"Albania","Other oil products n.e.c. - production from refineries","2000","Metric tons,  thousand","47",""
"Albania","Other oil products n.e.c. - production from refineries","1999","Metric tons,  thousand","46",""
"Albania","Other oil products n.e.c. - production from refineries","1998","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Imports","2021","Metric tons,  thousand","61.2",""
"Albania","Other oil products n.e.c. - Imports","2020","Metric tons,  thousand","32.34",""
"Albania","Other oil products n.e.c. - Imports","2019","Metric tons,  thousand","24.45",""
"Albania","Other oil products n.e.c. - Imports","2018","Metric tons,  thousand","25.89",""
"Albania","Other oil products n.e.c. - Imports","2017","Metric tons,  thousand","4",""
"Albania","Other oil products n.e.c. - Imports","2016","Metric tons,  thousand","43",""
"Albania","Other oil products n.e.c. - Imports","2015","Metric tons,  thousand","5",""
"Albania","Other oil products n.e.c. - Imports","2014","Metric tons,  thousand","39.22",""
"Albania","Other oil products n.e.c. - Imports","2013","Metric tons,  thousand","141.58",""
"Albania","Other oil products n.e.c. - Imports","2012","Metric tons,  thousand","1.03",""
"Albania","Other oil products n.e.c. - Imports","2011","Metric tons,  thousand","50.61",""
"Albania","Other oil products n.e.c. - Imports","2010","Metric tons,  thousand","29.43",""
"Albania","Other oil products n.e.c. - Imports","2009","Metric tons,  thousand","83.57",""
"Albania","Other oil products n.e.c. - Imports","2008","Metric tons,  thousand","120.4",""
"Albania","Other oil products n.e.c. - Imports","2007","Metric tons,  thousand","132",""
"Albania","Other oil products n.e.c. - Imports","2006","Metric tons,  thousand","14",""
"Albania","Other oil products n.e.c. - Imports","2005","Metric tons,  thousand","166",""
"Albania","Other oil products n.e.c. - Imports","2004","Metric tons,  thousand","88",""
"Albania","Other oil products n.e.c. - Imports","2003","Metric tons,  thousand","239",""
"Albania","Other oil products n.e.c. - Imports","2002","Metric tons,  thousand","237",""
"Albania","Other oil products n.e.c. - Imports","2001","Metric tons,  thousand","87",""
"Albania","Other oil products n.e.c. - Imports","2000","Metric tons,  thousand","81",""
"Albania","Other oil products n.e.c. - Imports","1999","Metric tons,  thousand","74",""
"Albania","Other oil products n.e.c. - Imports","1998","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Exports","2021","Metric tons,  thousand","98.6",""
"Albania","Other oil products n.e.c. - Exports","2020","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Exports","2019","Metric tons,  thousand","26.74",""
"Albania","Other oil products n.e.c. - Exports","2018","Metric tons,  thousand","28.45",""
"Albania","Other oil products n.e.c. - Exports","2017","Metric tons,  thousand","18",""
"Albania","Other oil products n.e.c. - Exports","2016","Metric tons,  thousand","4",""
"Albania","Other oil products n.e.c. - Exports","2015","Metric tons,  thousand","13",""
"Albania","Other oil products n.e.c. - Exports","2014","Metric tons,  thousand","11.23",""
"Albania","Other oil products n.e.c. - Exports","2013","Metric tons,  thousand","4.53",""
"Albania","Other oil products n.e.c. - Exports","2012","Metric tons,  thousand","0.64",""
"Albania","Other oil products n.e.c. - Exports","2011","Metric tons,  thousand","30.27",""
"Albania","Other oil products n.e.c. - Exports","2010","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Exports","2009","Metric tons,  thousand","6.6",""
"Albania","Other oil products n.e.c. - Exports","2008","Metric tons,  thousand","17.3",""
"Albania","Other oil products n.e.c. - Exports","2007","Metric tons,  thousand","21",""
"Albania","Other oil products n.e.c. - Exports","2006","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Exports","2005","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Exports","2004","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Exports","2003","Metric tons,  thousand","37",""
"Albania","Other oil products n.e.c. - Exports","2002","Metric tons,  thousand","37",""
"Albania","Other oil products n.e.c. - Exports","2001","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Exports","2000","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Exports","1999","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Stock changes","2018","Metric tons,  thousand","4.47",""
"Albania","Other oil products n.e.c. - Stock changes","2017","Metric tons,  thousand","2",""
"Albania","Other oil products n.e.c. - Stock changes","2016","Metric tons,  thousand","14",""
"Albania","Other oil products n.e.c. - Stock changes","2015","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Stock changes","2014","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Stock changes","2013","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Stock changes","2012","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Stock changes","2011","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Stock changes","2010","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Stock changes","2009","Metric tons,  thousand","45.58",""
"Albania","Other oil products n.e.c. - Stock changes","2008","Metric tons,  thousand","3.05",""
"Albania","Other oil products n.e.c. - Stock changes","2007","Metric tons,  thousand","12.22",""
"Albania","Other oil products n.e.c. - Stock changes","2006","Metric tons,  thousand","-87",""
"Albania","Other oil products n.e.c. - Transformation","2017","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Transformation","2016","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Transformation","2015","Metric tons,  thousand","0",""
"Albania","Other oil products n.e.c. - Transformation","2014","Metric tons,  thousand","12.4",""
"Albania","Other oil products n.e.c. - Transformation","2013","Metric tons,  thousand","7.5","1"
"Albania","Other oil products n.e.c. - Transformation","2012","Metric tons,  thousand","3",""
"Albania","Other oil products n.e.c. - Transformation","2011","Metric tons,  thousand","40.67",""
"Albania","Other oil products n.e.c. - Transformation","2010","Metric tons,  thousand","8",""
"Albania","Other oil products n.e.c. - Transformation","2009","Metric tons,  thousand","8.4",""
