"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - total solar production","2021","Kilowatt-hours, million","32","1"
"Afghanistan","Electricity - total solar production","2020","Kilowatt-hours, million","31.93",""
"Afghanistan","Electricity - total solar production","2019","Kilowatt-hours, million","20.77",""
"Albania","Electricity - total solar production","2021","Kilowatt-hours, million","40.756",""
"Albania","Electricity - total solar production","2020","Kilowatt-hours, million","32.26",""
"Albania","Electricity - total solar production","2019","Kilowatt-hours, million","22.196",""
"Algeria","Electricity - total solar production","2020","Kilowatt-hours, million","665.22",""
"Algeria","Electricity - total solar production","2019","Kilowatt-hours, million","678.05","1"
"Algeria","Electricity - total solar production","2018","Kilowatt-hours, million","654.66","1"
"Algeria","Electricity - total solar production","2017","Kilowatt-hours, million","559.711","1"
"Algeria","Electricity - total solar production","2016","Kilowatt-hours, million","339.1","1"
"Algeria","Electricity - total solar production","2015","Kilowatt-hours, million","161.954","1"
"Algeria","Electricity - total solar production","2014","Kilowatt-hours, million","197.733","1"
"American Samoa","Electricity - total solar production","2021","Kilowatt-hours, million","5.34","1"
"American Samoa","Electricity - total solar production","2020","Kilowatt-hours, million","5.21","1"
"American Samoa","Electricity - total solar production","2019","Kilowatt-hours, million","5.082","1"
"American Samoa","Electricity - total solar production","2018","Kilowatt-hours, million","4.832",""
"American Samoa","Electricity - total solar production","2017","Kilowatt-hours, million","4.832",""
"American Samoa","Electricity - total solar production","2016","Kilowatt-hours, million","2.92",""
"American Samoa","Electricity - total solar production","2015","Kilowatt-hours, million","2.35",""
"American Samoa","Electricity - total solar production","2014","Kilowatt-hours, million","2.37",""
"American Samoa","Electricity - total solar production","2013","Kilowatt-hours, million","2.419",""
"American Samoa","Electricity - total solar production","2012","Kilowatt-hours, million","1.409",""
"American Samoa","Electricity - total solar production","2011","Kilowatt-hours, million","0",""
"Andorra","Electricity - total solar production","2021","Kilowatt-hours, million","2.1","1"
"Andorra","Electricity - total solar production","2020","Kilowatt-hours, million","2","1"
"Andorra","Electricity - total solar production","2019","Kilowatt-hours, million","1.6",""
"Andorra","Electricity - total solar production","2018","Kilowatt-hours, million","0.9",""
"Andorra","Electricity - total solar production","2017","Kilowatt-hours, million","0.7",""
"Andorra","Electricity - total solar production","2016","Kilowatt-hours, million","0.3",""
"Andorra","Electricity - total solar production","2015","Kilowatt-hours, million","0.2",""
"Andorra","Electricity - total solar production","2014","Kilowatt-hours, million","0.2",""
"Angola","Electricity - total solar production","2020","Kilowatt-hours, million","18",""
"Angola","Electricity - total solar production","2019","Kilowatt-hours, million","18",""
"Angola","Electricity - total solar production","2018","Kilowatt-hours, million","18",""
"Angola","Electricity - total solar production","2017","Kilowatt-hours, million","18",""
"Angola","Electricity - total solar production","2016","Kilowatt-hours, million","18",""
"Angola","Electricity - total solar production","2015","Kilowatt-hours, million","18",""
"Angola","Electricity - total solar production","2014","Kilowatt-hours, million","17",""
"Angola","Electricity - total solar production","2013","Kilowatt-hours, million","15",""
"Angola","Electricity - total solar production","2012","Kilowatt-hours, million","14",""
"Angola","Electricity - total solar production","2011","Kilowatt-hours, million","11",""
"Angola","Electricity - total solar production","2010","Kilowatt-hours, million","10",""
"Angola","Electricity - total solar production","2009","Kilowatt-hours, million","8",""
"Angola","Electricity - total solar production","2008","Kilowatt-hours, million","7",""
"Angola","Electricity - total solar production","2007","Kilowatt-hours, million","4",""
"Angola","Electricity - total solar production","2006","Kilowatt-hours, million","1",""
"Angola","Electricity - total solar production","2005","Kilowatt-hours, million","1",""
"Anguilla","Electricity - total solar production","2021","Kilowatt-hours, million","2.7","1"
"Anguilla","Electricity - total solar production","2020","Kilowatt-hours, million","2.66","1"
"Anguilla","Electricity - total solar production","2019","Kilowatt-hours, million","2.629",""
"Anguilla","Electricity - total solar production","2018","Kilowatt-hours, million","1.985",""
"Anguilla","Electricity - total solar production","2017","Kilowatt-hours, million","2.314",""
"Anguilla","Electricity - total solar production","2016","Kilowatt-hours, million","2.428",""
"Anguilla","Electricity - total solar production","2015","Kilowatt-hours, million","1",""
"Anguilla","Electricity - total solar production","2014","Kilowatt-hours, million","1",""
"Antigua and Barbuda","Electricity - total solar production","2021","Kilowatt-hours, million","13.073","1"
"Antigua and Barbuda","Electricity - total solar production","2020","Kilowatt-hours, million","13.073","1"
"Antigua and Barbuda","Electricity - total solar production","2019","Kilowatt-hours, million","13.073",""
"Antigua and Barbuda","Electricity - total solar production","2018","Kilowatt-hours, million","13",""
"Antigua and Barbuda","Electricity - total solar production","2017","Kilowatt-hours, million","9",""
"Antigua and Barbuda","Electricity - total solar production","2016","Kilowatt-hours, million","9",""
"Antigua and Barbuda","Electricity - total solar production","2015","Kilowatt-hours, million","7",""
"Antigua and Barbuda","Electricity - total solar production","2014","Kilowatt-hours, million","2",""
"Antigua and Barbuda","Electricity - total solar production","2013","Kilowatt-hours, million","2",""
"Antigua and Barbuda","Electricity - total solar production","2012","Kilowatt-hours, million","2",""
"Antigua and Barbuda","Electricity - total solar production","2011","Kilowatt-hours, million","1",""
"Argentina","Electricity - total solar production","2021","Kilowatt-hours, million","2196",""
"Argentina","Electricity - total solar production","2020","Kilowatt-hours, million","1344.589",""
"Argentina","Electricity - total solar production","2019","Kilowatt-hours, million","800",""
"Argentina","Electricity - total solar production","2018","Kilowatt-hours, million","108",""
"Argentina","Electricity - total solar production","2017","Kilowatt-hours, million","16",""
"Argentina","Electricity - total solar production","2016","Kilowatt-hours, million","14",""
"Argentina","Electricity - total solar production","2015","Kilowatt-hours, million","15",""
