"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Argentina","Of which: biogasoline - Receipts from other sources","2021","Metric tons,  thousand","511",""
"Argentina","Of which: biogasoline - Receipts from other sources","2020","Metric tons,  thousand","1128.284",""
"Argentina","Of which: biogasoline - Receipts from other sources","2019","Metric tons,  thousand","850",""
"Argentina","Of which: biogasoline - Receipts from other sources","2018","Metric tons,  thousand","882",""
"Argentina","Of which: biogasoline - Receipts from other sources","2017","Metric tons,  thousand","875",""
"Argentina","Of which: biogasoline - Receipts from other sources","2016","Metric tons,  thousand","704",""
"Argentina","Of which: biogasoline - Receipts from other sources","2015","Metric tons,  thousand","645",""
"Argentina","Of which: biogasoline - Receipts from other sources","2014","Metric tons,  thousand","531",""
"Argentina","Of which: biogasoline - Receipts from other sources","2013","Metric tons,  thousand","374",""
"Argentina","Of which: biogasoline - Receipts from other sources","2012","Metric tons,  thousand","198",""
"Argentina","Of which: biogasoline - Receipts from other sources","2011","Metric tons,  thousand","138",""
"Argentina","Of which: biogasoline - Receipts from other sources","2010","Metric tons,  thousand","98",""
"Argentina","Of which: biogasoline - Stock changes","2013","Metric tons,  thousand","-2",""
"Argentina","Of which: biogasoline - Final energy consumption","2021","Metric tons,  thousand","506",""
"Argentina","Of which: biogasoline - Final energy consumption","2020","Metric tons,  thousand","1117.692",""
"Argentina","Of which: biogasoline - Final energy consumption","2019","Metric tons,  thousand","842",""
"Argentina","Of which: biogasoline - Final energy consumption","2018","Metric tons,  thousand","842",""
"Argentina","Of which: biogasoline - Final energy consumption","2017","Metric tons,  thousand","852",""
"Argentina","Of which: biogasoline - Final energy consumption","2016","Metric tons,  thousand","721",""
"Argentina","Of which: biogasoline - Final energy consumption","2015","Metric tons,  thousand","636",""
"Argentina","Of which: biogasoline - Final energy consumption","2014","Metric tons,  thousand","525",""
"Argentina","Of which: biogasoline - Final energy consumption","2013","Metric tons,  thousand","376",""
"Argentina","Of which: biogasoline - Final energy consumption","2012","Metric tons,  thousand","198",""
"Argentina","Of which: biogasoline - Final energy consumption","2011","Metric tons,  thousand","138",""
"Argentina","Of which: biogasoline - Final energy consumption","2010","Metric tons,  thousand","98",""
"Argentina","Of which: biogasoline - Consumption in transport","2021","Metric tons,  thousand","506",""
"Argentina","Of which: biogasoline - Consumption in transport","2020","Metric tons,  thousand","1117.692",""
"Argentina","Of which: biogasoline - Consumption in transport","2019","Metric tons,  thousand","842",""
"Argentina","Of which: biogasoline - Consumption in transport","2018","Metric tons,  thousand","842",""
"Argentina","Of which: biogasoline - Consumption in transport","2017","Metric tons,  thousand","852",""
"Argentina","Of which: biogasoline - Consumption in transport","2016","Metric tons,  thousand","721",""
"Argentina","Of which: biogasoline - Consumption in transport","2015","Metric tons,  thousand","636",""
"Argentina","Of which: biogasoline - Consumption in transport","2014","Metric tons,  thousand","525",""
"Argentina","Of which: biogasoline - Consumption in transport","2013","Metric tons,  thousand","376",""
"Argentina","Of which: biogasoline - Consumption in transport","2012","Metric tons,  thousand","198",""
"Argentina","Of which: biogasoline - Consumption in transport","2011","Metric tons,  thousand","138",""
"Argentina","Of which: biogasoline - Consumption in transport","2010","Metric tons,  thousand","98",""
"Argentina","Of which: biogasoline - Consumption by road","2021","Metric tons,  thousand","506",""
