"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Biodiesel - Imports","2021","Metric tons,  thousand","115",""
"Albania","Biodiesel - Imports","2020","Metric tons,  thousand","100","1"
"Albania","Biodiesel - Imports","2019","Metric tons,  thousand","130",""
"Albania","Biodiesel - Imports","2018","Metric tons,  thousand","125",""
"Albania","Biodiesel - Imports","2017","Metric tons,  thousand","87.87",""
"Albania","Biodiesel - Imports","2016","Metric tons,  thousand","92",""
"Albania","Biodiesel - Imports","2015","Metric tons,  thousand","34",""
"Albania","Biodiesel - Imports","2014","Metric tons,  thousand","29",""
"Albania","Biodiesel - Final energy consumption","2020","Metric tons,  thousand","100","1"
"Albania","Biodiesel - Final energy consumption","2019","Metric tons,  thousand","130",""
"Albania","Biodiesel - Final energy consumption","2018","Metric tons,  thousand","125",""
"Albania","Biodiesel - Final energy consumption","2017","Metric tons,  thousand","87.87",""
"Albania","Biodiesel - Final energy consumption","2016","Metric tons,  thousand","92",""
"Albania","Biodiesel - Final energy consumption","2015","Metric tons,  thousand","34",""
"Albania","Biodiesel - Final energy consumption","2014","Metric tons,  thousand","29",""
"Albania","Biodiesel - Consumption in transport","2020","Metric tons,  thousand","100","1"
"Albania","Biodiesel - Consumption in transport","2019","Metric tons,  thousand","130",""
"Albania","Biodiesel - Consumption in transport","2018","Metric tons,  thousand","125",""
"Albania","Biodiesel - Consumption in transport","2017","Metric tons,  thousand","87.87",""
"Albania","Biodiesel - Consumption in transport","2016","Metric tons,  thousand","92",""
"Albania","Biodiesel - Consumption in transport","2015","Metric tons,  thousand","34",""
"Albania","Biodiesel - Consumption in transport","2014","Metric tons,  thousand","29",""
"Albania","Biodiesel - Consumption by road","2020","Metric tons,  thousand","100","1"
"Albania","Biodiesel - Consumption by road","2019","Metric tons,  thousand","130",""
"Albania","Biodiesel - Consumption by road","2018","Metric tons,  thousand","125",""
"Albania","Biodiesel - Consumption by road","2017","Metric tons,  thousand","87.87",""
"Albania","Biodiesel - Consumption by road","2016","Metric tons,  thousand","92",""
"Albania","Biodiesel - Consumption by road","2015","Metric tons,  thousand","34",""
"Albania","Biodiesel - Consumption by road","2014","Metric tons,  thousand","29",""
"Albania","Biodiesel - Total energy supply","2021","Metric tons,  thousand","115",""
"Albania","Biodiesel - Total energy supply","2020","Metric tons,  thousand","100","1"
