"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Algeria","Coking coal - imports","2020","Metric tons,  thousand","8.113",""
"Algeria","Coking coal - imports","2019","Metric tons,  thousand","8",""
"Algeria","Coking coal - imports","2018","Metric tons,  thousand","12",""
"Algeria","Coking coal - imports","2017","Metric tons,  thousand","0",""
"Algeria","Coking coal - imports","2016","Metric tons,  thousand","0",""
"Algeria","Coking coal - imports","2015","Metric tons,  thousand","0",""
"Algeria","Coking coal - imports","2014","Metric tons,  thousand","20",""
"Algeria","Coking coal - imports","2013","Metric tons,  thousand","0",""
"Algeria","Coking coal - imports","2012","Metric tons,  thousand","0",""
"Algeria","Coking coal - imports","2011","Metric tons,  thousand","0",""
"Algeria","Coking coal - imports","2010","Metric tons,  thousand","0",""
"Algeria","Coking coal - imports","2009","Metric tons,  thousand","166",""
"Algeria","Coking coal - imports","2008","Metric tons,  thousand","825",""
"Algeria","Coking coal - imports","2007","Metric tons,  thousand","826",""
"Algeria","Coking coal - imports","2006","Metric tons,  thousand","992",""
"Algeria","Coking coal - imports","2000","Metric tons,  thousand","593",""
"Algeria","Coking coal - stock changes","2020","Metric tons,  thousand","0.049",""
"Algeria","Coking coal - stock changes","2019","Metric tons,  thousand","-9",""
"Algeria","Coking coal - stock changes","2018","Metric tons,  thousand","8",""
"Algeria","Coking coal - stock changes","2017","Metric tons,  thousand","-5",""
"Algeria","Coking coal - stock changes","2016","Metric tons,  thousand","0",""
"Algeria","Coking coal - stock changes","2015","Metric tons,  thousand","-11",""
"Algeria","Coking coal - stock changes","2014","Metric tons,  thousand","-1",""
"Algeria","Coking coal - stock changes","2013","Metric tons,  thousand","0",""
"Algeria","Coking coal - stock changes","2012","Metric tons,  thousand","0",""
"Algeria","Coking coal - stock changes","2011","Metric tons,  thousand","0",""
"Algeria","Coking coal - stock changes","2010","Metric tons,  thousand","0",""
"Algeria","Coking coal - stock changes","2009","Metric tons,  thousand","-147",""
"Algeria","Coking coal - stock changes","2008","Metric tons,  thousand","-114",""
"Algeria","Coking coal - stock changes","2007","Metric tons,  thousand","-113",""
"Algeria","Coking coal - stock changes","2006","Metric tons,  thousand","35",""
"Algeria","Coking coal - stock changes","2000","Metric tons,  thousand","-96",""
"Algeria","Coking coal - transformation","2020","Metric tons,  thousand","8.065",""
"Algeria","Coking coal - transformation","2019","Metric tons,  thousand","18",""
"Algeria","Coking coal - transformation","2018","Metric tons,  thousand","8",""
"Algeria","Coking coal - transformation","2017","Metric tons,  thousand","5",""
"Algeria","Coking coal - transformation","2016","Metric tons,  thousand","0",""
"Algeria","Coking coal - transformation","2015","Metric tons,  thousand","11",""
"Algeria","Coking coal - transformation","2014","Metric tons,  thousand","21",""
"Algeria","Coking coal - transformation","2013","Metric tons,  thousand","0",""
"Algeria","Coking coal - transformation","2012","Metric tons,  thousand","0",""
"Algeria","Coking coal - transformation","2011","Metric tons,  thousand","0",""
"Algeria","Coking coal - transformation","2010","Metric tons,  thousand","0",""
"Algeria","Coking coal - transformation","2009","Metric tons,  thousand","313",""
"Algeria","Coking coal - transformation","2008","Metric tons,  thousand","939",""
"Algeria","Coking coal - transformation","2007","Metric tons,  thousand","939",""
"Algeria","Coking coal - transformation","2006","Metric tons,  thousand","957",""
"Algeria","Coking coal - transformation","2000","Metric tons,  thousand","689",""
"Algeria","Coking coal - transformation in coke ovens","2020","Metric tons,  thousand","8.065",""
"Algeria","Coking coal - transformation in coke ovens","2013","Metric tons,  thousand","0",""
"Algeria","Coking coal - transformation in coke ovens","2012","Metric tons,  thousand","0",""
"Algeria","Coking coal - transformation in coke ovens","2011","Metric tons,  thousand","0",""
"Algeria","Coking coal - transformation in coke ovens","2010","Metric tons,  thousand","0",""
"Algeria","Coking coal - transformation in coke ovens","2009","Metric tons,  thousand","313",""
"Algeria","Coking coal - transformation in coke ovens","2008","Metric tons,  thousand","939",""
"Algeria","Coking coal - transformation in coke ovens","2007","Metric tons,  thousand","939",""
"Algeria","Coking coal - transformation in coke ovens","2006","Metric tons,  thousand","957",""
"Algeria","Coking coal - transformation in coke ovens","2000","Metric tons,  thousand","689",""
"Algeria","Coking coal - transformation in blast furnaces","2019","Metric tons,  thousand","18",""
"Algeria","Coking coal - transformation in blast furnaces","2018","Metric tons,  thousand","8",""
"Algeria","Coking coal - transformation in blast furnaces","2017","Metric tons,  thousand","5",""
"Algeria","Coking coal - transformation in blast furnaces","2016","Metric tons,  thousand","0",""
"Algeria","Coking coal - transformation in blast furnaces","2015","Metric tons,  thousand","11",""
"Algeria","Coking coal - transformation in blast furnaces","2014","Metric tons,  thousand","21",""
"Algeria","Coking coal - total energy supply","2020","Metric tons,  thousand","8.064",""
"Algeria","Coking coal - total energy supply","2019","Metric tons,  thousand","17",""
"Algeria","Coking coal - total energy supply","2018","Metric tons,  thousand","4",""
"Algeria","Coking coal - total energy supply","2017","Metric tons,  thousand","5",""
"Algeria","Coking coal - total energy supply","2016","Metric tons,  thousand","0",""
"Algeria","Coking coal - total energy supply","2015","Metric tons,  thousand","11",""
"Algeria","Coking coal - total energy supply","2014","Metric tons,  thousand","21",""
"Algeria","Coking coal - total energy supply","2013","Metric tons,  thousand","0",""
"Algeria","Coking coal - total energy supply","2012","Metric tons,  thousand","0",""
"Algeria","Coking coal - total energy supply","2011","Metric tons,  thousand","0",""
"Algeria","Coking coal - total energy supply","2010","Metric tons,  thousand","0",""
"Algeria","Coking coal - total energy supply","2009","Metric tons,  thousand","313",""
"Algeria","Coking coal - total energy supply","2008","Metric tons,  thousand","939",""
"Algeria","Coking coal - total energy supply","2007","Metric tons,  thousand","939",""
"Algeria","Coking coal - total energy supply","2006","Metric tons,  thousand","957",""
"Algeria","Coking coal - total energy supply","2000","Metric tons,  thousand","689",""
"Argentina","Coking coal - imports","2021","Metric tons,  thousand","976",""
"Argentina","Coking coal - imports","2020","Metric tons,  thousand","794.83",""
"Argentina","Coking coal - imports","2019","Metric tons,  thousand","722",""
"Argentina","Coking coal - imports","2018","Metric tons,  thousand","1056",""
"Argentina","Coking coal - imports","2017","Metric tons,  thousand","954",""
"Argentina","Coking coal - imports","2016","Metric tons,  thousand","823",""
"Argentina","Coking coal - imports","2015","Metric tons,  thousand","1088",""
"Argentina","Coking coal - imports","2014","Metric tons,  thousand","1120",""
"Argentina","Coking coal - imports","2013","Metric tons,  thousand","882",""
"Argentina","Coking coal - imports","2012","Metric tons,  thousand","667",""
"Argentina","Coking coal - imports","2011","Metric tons,  thousand","749",""
"Argentina","Coking coal - imports","2010","Metric tons,  thousand","686",""
"Argentina","Coking coal - imports","2009","Metric tons,  thousand","756",""
"Argentina","Coking coal - imports","2008","Metric tons,  thousand","1044",""
"Argentina","Coking coal - imports","2007","Metric tons,  thousand","802",""
"Argentina","Coking coal - transformation","2021","Metric tons,  thousand","976",""
"Argentina","Coking coal - transformation","2020","Metric tons,  thousand","794.83",""
"Argentina","Coking coal - transformation","2019","Metric tons,  thousand","722",""
"Argentina","Coking coal - transformation","2018","Metric tons,  thousand","1056",""
"Argentina","Coking coal - transformation","2017","Metric tons,  thousand","954",""
