"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Patent fuel - production","1992","Metric tons,  thousand","0",""
"Afghanistan","Patent fuel - production","1991","Metric tons,  thousand","35","1"
"Afghanistan","Patent fuel - production","1990","Metric tons,  thousand","37","1"
"Afghanistan","Patent fuel - Total energy supply","1992","Metric tons,  thousand","0",""
"Afghanistan","Patent fuel - Total energy supply","1991","Metric tons,  thousand","35","1"
"Afghanistan","Patent fuel - Total energy supply","1990","Metric tons,  thousand","37","1"
"Algeria","Patent fuel - imports","1992","Metric tons,  thousand","10","1"
"Algeria","Patent fuel - imports","1991","Metric tons,  thousand","10","1"
"Algeria","Patent fuel - imports","1990","Metric tons,  thousand","10","1"
"Algeria","Patent fuel - Total energy supply","1992","Metric tons,  thousand","10","1"
"Algeria","Patent fuel - Total energy supply","1991","Metric tons,  thousand","10","1"
"Algeria","Patent fuel - Total energy supply","1990","Metric tons,  thousand","10","1"
"Armenia","Patent fuel - imports","2021","Metric tons,  thousand","2.841955",""
"Armenia","Patent fuel - imports","2020","Metric tons,  thousand","0.845",""
"Armenia","Patent fuel - imports","2019","Metric tons,  thousand","0.7",""
"Armenia","Patent fuel - imports","2018","Metric tons,  thousand","1.114",""
"Armenia","Patent fuel - imports","2017","Metric tons,  thousand","1.1",""
"Armenia","Patent fuel - imports","2016","Metric tons,  thousand","0.63",""
"Armenia","Patent fuel - imports","2015","Metric tons,  thousand","0.42",""
"Armenia","Patent fuel - imports","2014","Metric tons,  thousand","0.49",""
"Armenia","Patent fuel - Final energy consumption","2020","Metric tons,  thousand","0.845",""
"Armenia","Patent fuel - Final energy consumption","2019","Metric tons,  thousand","0.7",""
"Armenia","Patent fuel - Final energy consumption","2018","Metric tons,  thousand","1.114",""
"Armenia","Patent fuel - Final energy consumption","2017","Metric tons,  thousand","1.1",""
"Armenia","Patent fuel - Final energy consumption","2016","Metric tons,  thousand","0.63",""
"Armenia","Patent fuel - Final energy consumption","2015","Metric tons,  thousand","0.42",""
"Armenia","Patent fuel - Final energy consumption","2014","Metric tons,  thousand","0.49",""
"Armenia","Patent fuel - consumption by manufacturing, construction and non-fuel mining industry","2020","Metric tons,  thousand","0.042",""
"Armenia","Patent fuel - Consumption by other manuf., const. and non-fuel ind.","2020","Metric tons,  thousand","0.042",""
"Armenia","Patent fuel - Consumption by food and tobacco ","2020","Metric tons,  thousand","0.042",""
"Armenia","Patent fuel - Consumption by other","2020","Metric tons,  thousand","0.803",""
"Armenia","Patent fuel - Consumption by other","2019","Metric tons,  thousand","0.7",""
"Armenia","Patent fuel - Consumption by other","2018","Metric tons,  thousand","1.114",""
"Armenia","Patent fuel - Consumption by other","2017","Metric tons,  thousand","1.1",""
"Armenia","Patent fuel - Consumption by other","2016","Metric tons,  thousand","0.63",""
"Armenia","Patent fuel - Consumption by other","2015","Metric tons,  thousand","0.42",""
"Armenia","Patent fuel - Consumption by other","2014","Metric tons,  thousand","0.49",""
"Armenia","Patent fuel - consumption by households","2020","Metric tons,  thousand","0.127",""
"Armenia","Patent fuel - consumption by households","2019","Metric tons,  thousand","0.7",""
"Armenia","Patent fuel - consumption by households","2018","Metric tons,  thousand","1.114",""
"Armenia","Patent fuel - consumption by households","2017","Metric tons,  thousand","1.1",""
"Armenia","Patent fuel - consumption by households","2016","Metric tons,  thousand","0.63",""
"Armenia","Patent fuel - consumption by households","2015","Metric tons,  thousand","0.42",""
"Armenia","Patent fuel - consumption by households","2014","Metric tons,  thousand","0.49",""
"Armenia","Patent fuel - Consumption by commerce and public services","2020","Metric tons,  thousand","0.676",""
"Armenia","Patent fuel - Total energy supply","2021","Metric tons,  thousand","2.841955",""
"Armenia","Patent fuel - Total energy supply","2020","Metric tons,  thousand","0.845",""
"Armenia","Patent fuel - Total energy supply","2019","Metric tons,  thousand","0.7",""
"Armenia","Patent fuel - Total energy supply","2018","Metric tons,  thousand","1.114",""
"Armenia","Patent fuel - Total energy supply","2017","Metric tons,  thousand","1.1",""
"Armenia","Patent fuel - Total energy supply","2016","Metric tons,  thousand","0.63",""
"Armenia","Patent fuel - Total energy supply","2015","Metric tons,  thousand","0.42",""
"Armenia","Patent fuel - Total energy supply","2014","Metric tons,  thousand","0.49",""
"Armenia","Patent fuel - Final consumption","2020","Metric tons,  thousand","0.845",""
"Armenia","Patent fuel - Final consumption","2019","Metric tons,  thousand","0.7",""
"Armenia","Patent fuel - Final consumption","2018","Metric tons,  thousand","1.114",""
"Armenia","Patent fuel - Final consumption","2017","Metric tons,  thousand","1.1",""
"Armenia","Patent fuel - Final consumption","2016","Metric tons,  thousand","0.63",""
"Armenia","Patent fuel - Final consumption","2015","Metric tons,  thousand","0.42",""
"Armenia","Patent fuel - Final consumption","2014","Metric tons,  thousand","0.49",""
"Austria","Patent fuel - imports","2021","Metric tons,  thousand","1.103",""
"Austria","Patent fuel - imports","2020","Metric tons,  thousand","2.148",""
"Austria","Patent fuel - imports","2019","Metric tons,  thousand","1.544",""
"Austria","Patent fuel - imports","2018","Metric tons,  thousand","28.051",""
"Austria","Patent fuel - imports","2017","Metric tons,  thousand","4.021",""
"Austria","Patent fuel - imports","2016","Metric tons,  thousand","4",""
"Austria","Patent fuel - imports","2015","Metric tons,  thousand","7",""
