"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Albania","Of which: biodiesel - Imports","2020","Metric tons,  thousand","100",""
"Albania","Of which: biodiesel - Imports","2019","Metric tons,  thousand","130",""
"Albania","Of which: biodiesel - Imports","2018","Metric tons,  thousand","125",""
"Albania","Of which: biodiesel - Imports","2017","Metric tons,  thousand","87.87",""
"Albania","Of which: biodiesel - Imports","2016","Metric tons,  thousand","92",""
"Albania","Of which: biodiesel - Imports","2015","Metric tons,  thousand","34",""
"Albania","Of which: biodiesel - Imports","2014","Metric tons,  thousand","29",""
"Albania","Of which: biodiesel - Final energy consumption","2020","Metric tons,  thousand","100",""
"Albania","Of which: biodiesel - Final energy consumption","2019","Metric tons,  thousand","130",""
"Albania","Of which: biodiesel - Final energy consumption","2018","Metric tons,  thousand","125",""
"Albania","Of which: biodiesel - Final energy consumption","2017","Metric tons,  thousand","87.87",""
"Albania","Of which: biodiesel - Final energy consumption","2016","Metric tons,  thousand","92",""
"Albania","Of which: biodiesel - Final energy consumption","2015","Metric tons,  thousand","34",""
"Albania","Of which: biodiesel - Final energy consumption","2014","Metric tons,  thousand","29",""
"Albania","Of which: biodiesel - Consumption in transport","2020","Metric tons,  thousand","100",""
"Albania","Of which: biodiesel - Consumption in transport","2019","Metric tons,  thousand","130",""
"Albania","Of which: biodiesel - Consumption in transport","2018","Metric tons,  thousand","125",""
"Albania","Of which: biodiesel - Consumption in transport","2017","Metric tons,  thousand","87.87",""
"Albania","Of which: biodiesel - Consumption in transport","2016","Metric tons,  thousand","92",""
"Albania","Of which: biodiesel - Consumption in transport","2015","Metric tons,  thousand","34",""
"Albania","Of which: biodiesel - Consumption in transport","2014","Metric tons,  thousand","29",""
"Albania","Of which: biodiesel - Consumption by road","2020","Metric tons,  thousand","100",""
"Albania","Of which: biodiesel - Consumption by road","2019","Metric tons,  thousand","130",""
"Albania","Of which: biodiesel - Consumption by road","2018","Metric tons,  thousand","125",""
"Albania","Of which: biodiesel - Consumption by road","2017","Metric tons,  thousand","87.87",""
"Albania","Of which: biodiesel - Consumption by road","2016","Metric tons,  thousand","92",""
"Albania","Of which: biodiesel - Consumption by road","2015","Metric tons,  thousand","34",""
"Albania","Of which: biodiesel - Consumption by road","2014","Metric tons,  thousand","29",""
"Albania","Of which: biodiesel - Total energy supply","2020","Metric tons,  thousand","100",""
"Albania","Of which: biodiesel - Total energy supply","2019","Metric tons,  thousand","130",""
"Albania","Of which: biodiesel - Total energy supply","2018","Metric tons,  thousand","125",""
"Albania","Of which: biodiesel - Total energy supply","2017","Metric tons,  thousand","87.87",""
"Albania","Of which: biodiesel - Total energy supply","2016","Metric tons,  thousand","92",""
"Albania","Of which: biodiesel - Total energy supply","2015","Metric tons,  thousand","34",""
"Albania","Of which: biodiesel - Total energy supply","2014","Metric tons,  thousand","29",""
"Albania","Of which: biodiesel - Final consumption","2020","Metric tons,  thousand","100",""
"Albania","Of which: biodiesel - Final consumption","2019","Metric tons,  thousand","130",""
"Albania","Of which: biodiesel - Final consumption","2018","Metric tons,  thousand","125",""
"Albania","Of which: biodiesel - Final consumption","2017","Metric tons,  thousand","87.87",""
"Albania","Of which: biodiesel - Final consumption","2016","Metric tons,  thousand","92",""
"Albania","Of which: biodiesel - Final consumption","2015","Metric tons,  thousand","34",""
"Albania","Of which: biodiesel - Final consumption","2014","Metric tons,  thousand","29",""
"Argentina","Of which: biodiesel - Receipts from other sources","2021","Metric tons,  thousand","391",""
"Argentina","Of which: biodiesel - Receipts from other sources","2020","Metric tons,  thousand","567.199",""
"Argentina","Of which: biodiesel - Receipts from other sources","2019","Metric tons,  thousand","1132",""
