"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Additives and Oxygenates - Imports","2021","Metric tons,  thousand","0.4","1"
"Afghanistan","Additives and Oxygenates - Imports","2020","Metric tons,  thousand","0.4","1"
"Afghanistan","Additives and Oxygenates - Imports","2019","Metric tons,  thousand","0.4",""
"Afghanistan","Additives and Oxygenates - Transformation","2021","Metric tons,  thousand","0.4","1"
"Afghanistan","Additives and Oxygenates - Transformation","2020","Metric tons,  thousand","0.4","1"
"Afghanistan","Additives and Oxygenates - Transformation","2019","Metric tons,  thousand","0.4","1"
"Afghanistan","Additives and Oxygenates - Transformation in oil refineries","2021","Metric tons,  thousand","0.4","1"
"Afghanistan","Additives and Oxygenates - Transformation in oil refineries","2020","Metric tons,  thousand","0.4","1"
"Afghanistan","Additives and Oxygenates - Transformation in oil refineries","2019","Metric tons,  thousand","0.4","1"
"Afghanistan","Additives and Oxygenates - Total energy supply","2021","Metric tons,  thousand","0.4","1"
"Afghanistan","Additives and Oxygenates - Total energy supply","2020","Metric tons,  thousand","0.4","1"
"Afghanistan","Additives and Oxygenates - Total energy supply","2019","Metric tons,  thousand","0.4",""
"Australia","Additives and Oxygenates - Receipts from other sources","2009","Metric tons,  thousand","0",""
"Australia","Additives and Oxygenates - Receipts from other sources","2008","Metric tons,  thousand","1",""
"Australia","Additives and Oxygenates - Receipts from other sources","2007","Metric tons,  thousand","0",""
"Australia","Additives and Oxygenates - Receipts from other sources","2006","Metric tons,  thousand","4",""
"Australia","Additives and Oxygenates - transfers and recycled products","2009","Metric tons,  thousand","0",""
"Australia","Additives and Oxygenates - transfers and recycled products","2008","Metric tons,  thousand","1",""
"Australia","Additives and Oxygenates - transfers and recycled products","2007","Metric tons,  thousand","0",""
"Australia","Additives and Oxygenates - transfers and recycled products","2006","Metric tons,  thousand","4",""
"Australia","Additives and Oxygenates - Total energy supply","2009","Metric tons,  thousand","0",""
"Australia","Additives and Oxygenates - Total energy supply","2008","Metric tons,  thousand","1",""
