"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Natural gas liquids - Production","1992","Metric tons,  thousand","0",""
"Afghanistan","Natural gas liquids - Production","1991","Metric tons,  thousand","3",""
"Afghanistan","Natural gas liquids - Production","1990","Metric tons,  thousand","4",""
"Afghanistan","Natural gas liquids - Transformation","1992","Metric tons,  thousand","0",""
"Afghanistan","Natural gas liquids - Transformation","1991","Metric tons,  thousand","0",""
"Afghanistan","Natural gas liquids - Transformation","1990","Metric tons,  thousand","0",""
"Afghanistan","Natural gas liquids - Other transformation","1992","Metric tons,  thousand","0",""
"Afghanistan","Natural gas liquids - Other transformation","1991","Metric tons,  thousand","0","1"
"Afghanistan","Natural gas liquids - Other transformation","1990","Metric tons,  thousand","0","1"
"Afghanistan","Natural gas liquids - Total energy supply","1992","Metric tons,  thousand","0",""
"Afghanistan","Natural gas liquids - Total energy supply","1991","Metric tons,  thousand","3",""
"Afghanistan","Natural gas liquids - Total energy supply","1990","Metric tons,  thousand","4",""
"Algeria","Natural gas liquids - Production","2020","Metric tons,  thousand","15443.724",""
"Algeria","Natural gas liquids - Production","2019","Metric tons,  thousand","16517",""
"Algeria","Natural gas liquids - Production","2018","Metric tons,  thousand","17220",""
"Algeria","Natural gas liquids - Production","2017","Metric tons,  thousand","17744",""
"Algeria","Natural gas liquids - Production","2016","Metric tons,  thousand","17924",""
"Algeria","Natural gas liquids - Production","2015","Metric tons,  thousand","18346",""
"Algeria","Natural gas liquids - Production","2014","Metric tons,  thousand","18318",""
"Algeria","Natural gas liquids - Production","2013","Metric tons,  thousand","15656",""
"Algeria","Natural gas liquids - Production","2012","Metric tons,  thousand","16474",""
"Algeria","Natural gas liquids - Production","2011","Metric tons,  thousand","17746",""
"Algeria","Natural gas liquids - Production","2010","Metric tons,  thousand","18734",""
"Algeria","Natural gas liquids - Production","2009","Metric tons,  thousand","20623",""
"Algeria","Natural gas liquids - Production","2008","Metric tons,  thousand","21960",""
"Algeria","Natural gas liquids - Production","2007","Metric tons,  thousand","21811",""
"Algeria","Natural gas liquids - Production","2006","Metric tons,  thousand","21911",""
"Algeria","Natural gas liquids - Production","2005","Metric tons,  thousand","37459",""
"Algeria","Natural gas liquids - Production","2004","Metric tons,  thousand","37520",""
"Algeria","Natural gas liquids - Production","2003","Metric tons,  thousand","38345",""
"Algeria","Natural gas liquids - Production","2002","Metric tons,  thousand","40454",""
"Algeria","Natural gas liquids - Production","2001","Metric tons,  thousand","40740",""
"Algeria","Natural gas liquids - Production","2000","Metric tons,  thousand","25687",""
"Algeria","Natural gas liquids - Production","1999","Metric tons,  thousand","44209",""
"Algeria","Natural gas liquids - Production","1998","Metric tons,  thousand","27589",""
"Algeria","Natural gas liquids - Production","1997","Metric tons,  thousand","26186",""
"Algeria","Natural gas liquids - Production","1996","Metric tons,  thousand","24139",""
"Algeria","Natural gas liquids - Production","1995","Metric tons,  thousand","23489",""
"Algeria","Natural gas liquids - Production","1994","Metric tons,  thousand","22369",""
"Algeria","Natural gas liquids - Production","1993","Metric tons,  thousand","22581",""
"Algeria","Natural gas liquids - Production","1992","Metric tons,  thousand","20830",""
"Algeria","Natural gas liquids - Production","1991","Metric tons,  thousand","22380",""
"Algeria","Natural gas liquids - Production","1990","Metric tons,  thousand","22633",""
"Algeria","Natural gas liquids - Exports","2020","Metric tons,  thousand","3252.524",""
"Algeria","Natural gas liquids - Exports","2019","Metric tons,  thousand","4374",""
"Algeria","Natural gas liquids - Exports","2018","Metric tons,  thousand","4290",""
"Algeria","Natural gas liquids - Exports","2017","Metric tons,  thousand","4200",""
"Algeria","Natural gas liquids - Exports","2016","Metric tons,  thousand","5209",""
"Algeria","Natural gas liquids - Exports","2015","Metric tons,  thousand","5016",""
"Algeria","Natural gas liquids - Exports","2014","Metric tons,  thousand","4805",""
"Algeria","Natural gas liquids - Exports","2013","Metric tons,  thousand","5416",""
"Algeria","Natural gas liquids - Exports","2012","Metric tons,  thousand","5105",""
"Algeria","Natural gas liquids - Exports","2011","Metric tons,  thousand","5946",""
"Algeria","Natural gas liquids - Exports","2010","Metric tons,  thousand","6080",""
"Algeria","Natural gas liquids - Exports","2009","Metric tons,  thousand","10531",""
"Algeria","Natural gas liquids - Exports","2008","Metric tons,  thousand","12984",""
"Algeria","Natural gas liquids - Exports","2007","Metric tons,  thousand","12902",""
"Algeria","Natural gas liquids - Exports","2006","Metric tons,  thousand","13364",""
"Algeria","Natural gas liquids - Exports","2005","Metric tons,  thousand","27622",""
"Algeria","Natural gas liquids - Exports","2004","Metric tons,  thousand","27166",""
"Algeria","Natural gas liquids - Exports","2003","Metric tons,  thousand","27704",""
"Algeria","Natural gas liquids - Exports","2002","Metric tons,  thousand","29543",""
"Algeria","Natural gas liquids - Exports","2001","Metric tons,  thousand","31206",""
"Algeria","Natural gas liquids - Exports","2000","Metric tons,  thousand","15920",""
"Algeria","Natural gas liquids - Exports","1999","Metric tons,  thousand","32210","1"
"Algeria","Natural gas liquids - Exports","1998","Metric tons,  thousand","17700","1"
"Algeria","Natural gas liquids - Exports","1997","Metric tons,  thousand","18000","1"
"Algeria","Natural gas liquids - Exports","1996","Metric tons,  thousand","18100","1"
"Algeria","Natural gas liquids - Exports","1995","Metric tons,  thousand","17880","1"
"Algeria","Natural gas liquids - Exports","1994","Metric tons,  thousand","15800","1"
"Algeria","Natural gas liquids - Exports","1993","Metric tons,  thousand","16900","1"
"Algeria","Natural gas liquids - Exports","1992","Metric tons,  thousand","15300",""
"Algeria","Natural gas liquids - Exports","1991","Metric tons,  thousand","17100",""
"Algeria","Natural gas liquids - Exports","1990","Metric tons,  thousand","18100",""
"Algeria","Natural gas liquids - Stock changes","2020","Metric tons,  thousand","-46.144",""
"Algeria","Natural gas liquids - Stock changes","2019","Metric tons,  thousand","5",""
"Algeria","Natural gas liquids - Stock changes","2018","Metric tons,  thousand","-17",""
"Algeria","Natural gas liquids - Stock changes","2017","Metric tons,  thousand","89",""
"Algeria","Natural gas liquids - Stock changes","2016","Metric tons,  thousand","-95",""
"Algeria","Natural gas liquids - Stock changes","2015","Metric tons,  thousand","-136",""
"Algeria","Natural gas liquids - Stock changes","2014","Metric tons,  thousand","153",""
"Algeria","Natural gas liquids - Stock changes","2013","Metric tons,  thousand","-81",""
"Algeria","Natural gas liquids - Stock changes","2012","Metric tons,  thousand","83",""
"Algeria","Natural gas liquids - Stock changes","2011","Metric tons,  thousand","-191",""
"Algeria","Natural gas liquids - Stock changes","2010","Metric tons,  thousand","128",""
"Algeria","Natural gas liquids - Stock changes","2009","Metric tons,  thousand","-120",""
"Algeria","Natural gas liquids - Stock changes","2008","Metric tons,  thousand","0",""
"Algeria","Natural gas liquids - Stock changes","2007","Metric tons,  thousand","0",""
"Algeria","Natural gas liquids - Stock changes","2006","Metric tons,  thousand","0",""
"Algeria","Natural gas liquids - Stock changes","2005","Metric tons,  thousand","0",""
"Algeria","Natural gas liquids - Stock changes","2004","Metric tons,  thousand","0",""
"Algeria","Natural gas liquids - Stock changes","1990","Metric tons,  thousand","0",""
"Algeria","Natural gas liquids - Transformation","2020","Metric tons,  thousand","12208.915",""
"Algeria","Natural gas liquids - Transformation","2019","Metric tons,  thousand","12016",""
"Algeria","Natural gas liquids - Transformation","2018","Metric tons,  thousand","12969",""
"Algeria","Natural gas liquids - Transformation","2017","Metric tons,  thousand","13338",""
"Algeria","Natural gas liquids - Transformation","2016","Metric tons,  thousand","12791",""
"Algeria","Natural gas liquids - Transformation","2015","Metric tons,  thousand","13528",""
"Algeria","Natural gas liquids - Transformation","2014","Metric tons,  thousand","13607",""
"Algeria","Natural gas liquids - Transformation","2013","Metric tons,  thousand","10173",""
"Algeria","Natural gas liquids - Transformation","2012","Metric tons,  thousand","11270",""
"Algeria","Natural gas liquids - Transformation","2011","Metric tons,  thousand","11839",""
