"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Australia","Coal Tar - Production","2021","Metric tons,  thousand","152",""
"Australia","Coal Tar - Production","2020","Metric tons,  thousand","157",""
"Australia","Coal Tar - Production","2019","Metric tons,  thousand","148",""
"Australia","Coal Tar - Production","2018","Metric tons,  thousand","161",""
"Australia","Coal Tar - Production","2017","Metric tons,  thousand","167",""
"Australia","Coal Tar - Production","2016","Metric tons,  thousand","164",""
"Australia","Coal Tar - Production","2015","Metric tons,  thousand","42",""
"Australia","Coal Tar - Production","2014","Metric tons,  thousand","40",""
"Australia","Coal Tar - Production","2013","Metric tons,  thousand","39",""
"Australia","Coal Tar - Production","2012","Metric tons,  thousand","39",""
"Australia","Coal Tar - Production","2011","Metric tons,  thousand","37",""
"Australia","Coal Tar - Production","2010","Metric tons,  thousand","39",""
"Australia","Coal Tar - Production","2009","Metric tons,  thousand","108",""
"Australia","Coal Tar - Production","2008","Metric tons,  thousand","167",""
"Australia","Coal Tar - Production","2007","Metric tons,  thousand","169",""
"Australia","Coal Tar - Production","2006","Metric tons,  thousand","170",""
"Australia","Coal Tar - Production","2005","Metric tons,  thousand","170",""
"Australia","Coal Tar - Production","2004","Metric tons,  thousand","221",""
"Australia","Coal Tar - Production","2003","Metric tons,  thousand","380",""
"Australia","Coal Tar - Energy industries own use","2017","Metric tons,  thousand","1",""
"Australia","Coal Tar - Energy industries own use","2016","Metric tons,  thousand","0",""
"Australia","Coal Tar - Energy industries own use","2015","Metric tons,  thousand","1",""
"Australia","Coal Tar - Energy industries own use","2014","Metric tons,  thousand","1",""
"Australia","Coal Tar - Energy industries own use","2013","Metric tons,  thousand","1",""
"Australia","Coal Tar - Energy industries own use","2012","Metric tons,  thousand","1",""
"Australia","Coal Tar - Energy industries own use","2009","Metric tons,  thousand","10",""
"Australia","Coal Tar - Energy industries own use","2008","Metric tons,  thousand","17",""
"Australia","Coal Tar - Energy industries own use","2007","Metric tons,  thousand","17",""
"Australia","Coal Tar - Own use by coke ovens","2017","Metric tons,  thousand","1",""
"Australia","Coal Tar - Own use by coke ovens","2016","Metric tons,  thousand","0",""
"Australia","Coal Tar - Own use by coke ovens","2015","Metric tons,  thousand","1",""
"Australia","Coal Tar - Own use by coke ovens","2014","Metric tons,  thousand","1",""
"Australia","Coal Tar - Own use by coke ovens","2013","Metric tons,  thousand","1",""
"Australia","Coal Tar - Own use by coke ovens","2012","Metric tons,  thousand","1",""
"Australia","Coal Tar - Own use by oil refineries","2009","Metric tons,  thousand","10",""
"Australia","Coal Tar - Own use by oil refineries","2008","Metric tons,  thousand","17",""
"Australia","Coal Tar - Own use by oil refineries","2007","Metric tons,  thousand","17",""
"Australia","Coal Tar - Final energy consumption","2020","Metric tons,  thousand","157",""
"Australia","Coal Tar - Final energy consumption","2019","Metric tons,  thousand","148",""
"Australia","Coal Tar - Final energy consumption","2018","Metric tons,  thousand","161",""
"Australia","Coal Tar - Final energy consumption","2017","Metric tons,  thousand","166",""
"Australia","Coal Tar - Final energy consumption","2016","Metric tons,  thousand","164",""
"Australia","Coal Tar - Final energy consumption","2015","Metric tons,  thousand","41",""
