"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Finland","Of which: bio jet kerosene - Exports","2015","Metric tons,  thousand","1",""
"Finland","Of which: bio jet kerosene - Exports","2014","Metric tons,  thousand","0",""
"Finland","Of which: bio jet kerosene - Exports","2013","Metric tons,  thousand","0",""
"Finland","Of which: bio jet kerosene - Exports","2012","Metric tons,  thousand","0",""
"Finland","Of which: bio jet kerosene - Exports","2011","Metric tons,  thousand","1",""
"Finland","Of which: bio jet kerosene - Transfers and recycled products","2015","Metric tons,  thousand","-1",""
"Finland","Of which: bio jet kerosene - Transfers and recycled products","2014","Metric tons,  thousand","0",""
"Finland","Of which: bio jet kerosene - Transfers and recycled products","2013","Metric tons,  thousand","0",""
"Finland","Of which: bio jet kerosene - Transfers and recycled products","2012","Metric tons,  thousand","0",""
"Finland","Of which: bio jet kerosene - Transfers and recycled products","2011","Metric tons,  thousand","-1",""
"Finland","Of which: bio jet kerosene - Total energy supply","2015","Metric tons,  thousand","-1",""
"Finland","Of which: bio jet kerosene - Total energy supply","2014","Metric tons,  thousand","0",""
"Finland","Of which: bio jet kerosene - Total energy supply","2013","Metric tons,  thousand","0",""
"Finland","Of which: bio jet kerosene - Total energy supply","2012","Metric tons,  thousand","0",""
"Finland","Of which: bio jet kerosene - Total energy supply","2011","Metric tons,  thousand","-1",""

"fnSeqID","Footnote"
"1","Estimate"
