"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Algeria","Ethane - Production","2016","Metric tons,  thousand","0",""
"Algeria","Ethane - Production","2015","Metric tons,  thousand","0",""
"Algeria","Ethane - Production","2014","Metric tons,  thousand","0",""
"Algeria","Ethane - Production","2013","Metric tons,  thousand","0",""
"Algeria","Ethane - Production","2012","Metric tons,  thousand","27",""
"Algeria","Ethane - Production","2011","Metric tons,  thousand","0",""
"Algeria","Ethane - Production","2010","Metric tons,  thousand","17",""
"Algeria","Ethane - Production","2009","Metric tons,  thousand","50",""
"Algeria","Ethane - Production","2008","Metric tons,  thousand","57",""
"Algeria","Ethane - Production","2007","Metric tons,  thousand","68",""
"Algeria","Ethane - Production","2006","Metric tons,  thousand","68",""
"Algeria","Ethane - Production","2000","Metric tons,  thousand","135",""
"Algeria","Ethane - Production from plants","2016","Metric tons,  thousand","0",""
"Algeria","Ethane - Production from plants","2015","Metric tons,  thousand","0",""
"Algeria","Ethane - Production from plants","2014","Metric tons,  thousand","0",""
"Algeria","Ethane - Production from plants","2013","Metric tons,  thousand","0",""
"Algeria","Ethane - Production from plants","2012","Metric tons,  thousand","27",""
"Algeria","Ethane - Production from plants","2011","Metric tons,  thousand","0",""
"Algeria","Ethane - Production from plants","2010","Metric tons,  thousand","17",""
"Algeria","Ethane - Production from plants","2009","Metric tons,  thousand","50",""
"Algeria","Ethane - Production from plants","2008","Metric tons,  thousand","57",""
"Algeria","Ethane - Production from plants","2007","Metric tons,  thousand","68",""
"Algeria","Ethane - Production from plants","2006","Metric tons,  thousand","68",""
"Algeria","Ethane - Production from plants","2000","Metric tons,  thousand","135",""
"Algeria","Ethane - Consumption for non-energy uses","2016","Metric tons,  thousand","0",""
"Algeria","Ethane - Consumption for non-energy uses","2015","Metric tons,  thousand","0",""
"Algeria","Ethane - Consumption for non-energy uses","2014","Metric tons,  thousand","0",""
"Algeria","Ethane - Consumption for non-energy uses","2013","Metric tons,  thousand","0",""
"Algeria","Ethane - Consumption for non-energy uses","2012","Metric tons,  thousand","27",""
"Algeria","Ethane - Consumption for non-energy uses","2011","Metric tons,  thousand","0",""
"Algeria","Ethane - Consumption for non-energy uses","2010","Metric tons,  thousand","17",""
"Algeria","Ethane - Consumption for non-energy uses","2009","Metric tons,  thousand","50",""
"Algeria","Ethane - Consumption for non-energy uses","2008","Metric tons,  thousand","57",""
"Algeria","Ethane - Consumption for non-energy uses","2007","Metric tons,  thousand","68",""
"Algeria","Ethane - Consumption for non-energy uses","2006","Metric tons,  thousand","68",""
"Algeria","Ethane - Consumption for non-energy uses","2000","Metric tons,  thousand","135",""
"Algeria","Ethane - Total energy supply","2016","Metric tons,  thousand","0",""
"Algeria","Ethane - Total energy supply","2015","Metric tons,  thousand","0",""
"Algeria","Ethane - Total energy supply","2014","Metric tons,  thousand","0",""
"Algeria","Ethane - Total energy supply","2013","Metric tons,  thousand","0",""
"Algeria","Ethane - Total energy supply","2012","Metric tons,  thousand","27",""
"Algeria","Ethane - Total energy supply","2011","Metric tons,  thousand","0",""
"Algeria","Ethane - Total energy supply","2010","Metric tons,  thousand","17",""
"Algeria","Ethane - Total energy supply","2009","Metric tons,  thousand","50",""
"Algeria","Ethane - Total energy supply","2008","Metric tons,  thousand","57",""
"Algeria","Ethane - Total energy supply","2007","Metric tons,  thousand","68",""
"Algeria","Ethane - Total energy supply","2006","Metric tons,  thousand","68",""
"Algeria","Ethane - Total energy supply","2000","Metric tons,  thousand","135",""
"Algeria","Ethane - Final consumption","2016","Metric tons,  thousand","0",""
"Algeria","Ethane - Final consumption","2015","Metric tons,  thousand","0",""
"Algeria","Ethane - Final consumption","2014","Metric tons,  thousand","0",""
"Algeria","Ethane - Final consumption","2013","Metric tons,  thousand","0",""
"Algeria","Ethane - Final consumption","2012","Metric tons,  thousand","27",""
"Algeria","Ethane - Final consumption","2011","Metric tons,  thousand","0",""
"Algeria","Ethane - Final consumption","2010","Metric tons,  thousand","17",""
"Algeria","Ethane - Final consumption","2009","Metric tons,  thousand","50",""
"Algeria","Ethane - Final consumption","2008","Metric tons,  thousand","57",""
"Algeria","Ethane - Final consumption","2007","Metric tons,  thousand","68",""
"Algeria","Ethane - Final consumption","2006","Metric tons,  thousand","68",""
"Algeria","Ethane - Final consumption","2000","Metric tons,  thousand","135",""
"Argentina","Ethane - Production","2021","Metric tons,  thousand","1296",""
"Argentina","Ethane - Production","2020","Metric tons,  thousand","1379",""
"Argentina","Ethane - Production","2019","Metric tons,  thousand","1074",""
"Argentina","Ethane - Production","2018","Metric tons,  thousand","1102",""
"Argentina","Ethane - Production","2017","Metric tons,  thousand","980",""
"Argentina","Ethane - Production","2016","Metric tons,  thousand","1022",""
"Argentina","Ethane - Production","2015","Metric tons,  thousand","907",""
"Argentina","Ethane - Production","2014","Metric tons,  thousand","843",""
"Argentina","Ethane - Production","2013","Metric tons,  thousand","779",""
"Argentina","Ethane - Production","2012","Metric tons,  thousand","1048",""
"Argentina","Ethane - Production","2011","Metric tons,  thousand","1019",""
"Argentina","Ethane - Production","2010","Metric tons,  thousand","1018",""
"Argentina","Ethane - Production","2009","Metric tons,  thousand","1066",""
"Argentina","Ethane - Production","2008","Metric tons,  thousand","1069",""
"Argentina","Ethane - Production","2007","Metric tons,  thousand","1100",""
"Argentina","Ethane - Production from plants","2021","Metric tons,  thousand","1296",""
"Argentina","Ethane - Production from plants","2020","Metric tons,  thousand","1379",""
"Argentina","Ethane - Production from plants","2019","Metric tons,  thousand","1074",""
"Argentina","Ethane - Production from plants","2018","Metric tons,  thousand","1102",""
"Argentina","Ethane - Production from plants","2017","Metric tons,  thousand","980",""
"Argentina","Ethane - Production from plants","2016","Metric tons,  thousand","1022",""
"Argentina","Ethane - Production from plants","2015","Metric tons,  thousand","907",""
"Argentina","Ethane - Production from plants","2014","Metric tons,  thousand","843",""
"Argentina","Ethane - Production from plants","2013","Metric tons,  thousand","779",""
"Argentina","Ethane - Production from plants","2012","Metric tons,  thousand","1048",""
"Argentina","Ethane - Production from plants","2011","Metric tons,  thousand","1019",""
"Argentina","Ethane - Production from plants","2010","Metric tons,  thousand","1018",""
"Argentina","Ethane - Production from plants","2009","Metric tons,  thousand","1066",""
"Argentina","Ethane - Production from plants","2008","Metric tons,  thousand","1069",""
"Argentina","Ethane - Production from plants","2007","Metric tons,  thousand","1100",""
"Argentina","Ethane - Consumption for non-energy uses","2021","Metric tons,  thousand","1296",""
"Argentina","Ethane - Consumption for non-energy uses","2020","Metric tons,  thousand","1379",""
"Argentina","Ethane - Consumption for non-energy uses","2019","Metric tons,  thousand","1074",""
"Argentina","Ethane - Consumption for non-energy uses","2018","Metric tons,  thousand","1102",""
"Argentina","Ethane - Consumption for non-energy uses","2017","Metric tons,  thousand","980",""
"Argentina","Ethane - Consumption for non-energy uses","2016","Metric tons,  thousand","1022",""
"Argentina","Ethane - Consumption for non-energy uses","2015","Metric tons,  thousand","907",""
"Argentina","Ethane - Consumption for non-energy uses","2014","Metric tons,  thousand","843",""
"Argentina","Ethane - Consumption for non-energy uses","2013","Metric tons,  thousand","779",""
"Argentina","Ethane - Consumption for non-energy uses","2012","Metric tons,  thousand","1048",""
"Argentina","Ethane - Consumption for non-energy uses","2011","Metric tons,  thousand","1019",""
"Argentina","Ethane - Consumption for non-energy uses","2010","Metric tons,  thousand","1018",""
"Argentina","Ethane - Consumption for non-energy uses","2009","Metric tons,  thousand","1066",""
"Argentina","Ethane - Consumption for non-energy uses","2008","Metric tons,  thousand","1069",""
"Argentina","Ethane - Consumption for non-energy uses","2007","Metric tons,  thousand","1100",""
"Argentina","Ethane - Total energy supply","2021","Metric tons,  thousand","1296",""
"Argentina","Ethane - Total energy supply","2020","Metric tons,  thousand","1379",""
"Argentina","Ethane - Total energy supply","2019","Metric tons,  thousand","1074",""
"Argentina","Ethane - Total energy supply","2018","Metric tons,  thousand","1102",""
"Argentina","Ethane - Total energy supply","2017","Metric tons,  thousand","980",""
"Argentina","Ethane - Total energy supply","2016","Metric tons,  thousand","1022",""
"Argentina","Ethane - Total energy supply","2015","Metric tons,  thousand","907",""
"Argentina","Ethane - Total energy supply","2014","Metric tons,  thousand","843",""
"Argentina","Ethane - Total energy supply","2013","Metric tons,  thousand","779",""
"Argentina","Ethane - Total energy supply","2012","Metric tons,  thousand","1048",""
"Argentina","Ethane - Total energy supply","2011","Metric tons,  thousand","1019",""
"Argentina","Ethane - Total energy supply","2010","Metric tons,  thousand","1018",""
