T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
32,Argentina,2018,Supply per capita (gigajoules),74,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
32,Argentina,2019,Supply per capita (gigajoules),74,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
32,Argentina,2020,Supply per capita (gigajoules),69,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,1995,Primary energy production (petajoules),11,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2000,Primary energy production (petajoules),27,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2005,Primary energy production (petajoules),37,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2010,Primary energy production (petajoules),39,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2015,Primary energy production (petajoules),45,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2018,Primary energy production (petajoules),37,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2019,Primary energy production (petajoules),38,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2020,Primary energy production (petajoules),42,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),59,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),57,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),69,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),70,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),92,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2018,Net imports [Imports - Exports - Bunkers] (petajoules),94,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2019,Net imports [Imports - Exports - Bunkers] (petajoules),104,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2020,Net imports [Imports - Exports - Bunkers] (petajoules),111,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2010,Changes in stocks (petajoules),3,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2015,Changes in stocks (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2018,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2019,Changes in stocks (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2020,Changes in stocks (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,1995,Total supply (petajoules),69,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2000,Total supply (petajoules),85,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2005,Total supply (petajoules),106,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2010,Total supply (petajoules),106,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2015,Total supply (petajoules),135,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2018,Total supply (petajoules),131,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2019,Total supply (petajoules),141,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2020,Total supply (petajoules),152,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,1995,Supply per capita (gigajoules),21,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2000,Supply per capita (gigajoules),27,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2005,Supply per capita (gigajoules),35,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2010,Supply per capita (gigajoules),36,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2015,Supply per capita (gigajoules),47,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2018,Supply per capita (gigajoules),46,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2019,Supply per capita (gigajoules),50,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
51,Armenia,2020,Supply per capita (gigajoules),54,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,1995,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2000,Primary energy production (petajoules),5,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2005,Primary energy production (petajoules),5,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2010,Primary energy production (petajoules),5,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2015,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2018,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2019,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2020,Primary energy production (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,1995,Net imports [Imports - Exports - Bunkers] (petajoules),10,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2000,Net imports [Imports - Exports - Bunkers] (petajoules),49,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2005,Net imports [Imports - Exports - Bunkers] (petajoules),54,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2010,Net imports [Imports - Exports - Bunkers] (petajoules),51,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2015,Net imports [Imports - Exports - Bunkers] (petajoules),12,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2018,Net imports [Imports - Exports - Bunkers] (petajoules),12,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2019,Net imports [Imports - Exports - Bunkers] (petajoules),12,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2020,Net imports [Imports - Exports - Bunkers] (petajoules),13,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,1995,Total supply (petajoules),10,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2000,Total supply (petajoules),54,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2005,Total supply (petajoules),58,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2010,Total supply (petajoules),56,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2015,Total supply (petajoules),13,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2018,Total supply (petajoules),13,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2019,Total supply (petajoules),13,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2020,Total supply (petajoules),13,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,1995,Supply per capita (gigajoules),126,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2000,Supply per capita (gigajoules),602,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2005,Supply per capita (gigajoules),616,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2010,Supply per capita (gigajoules),558,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2015,Supply per capita (gigajoules),122,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2018,Supply per capita (gigajoules),119,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2019,Supply per capita (gigajoules),120,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
533,Aruba,2020,Supply per capita (gigajoules),120,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,1995,Primary energy production (petajoules),"7,825",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2000,Primary energy production (petajoules),"9,779",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2005,Primary energy production (petajoules),"11,491",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2010,Primary energy production (petajoules),"13,646",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2015,Primary energy production (petajoules),"16,033",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2018,Primary energy production (petajoules),"17,266",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2019,Primary energy production (petajoules),"18,651",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2020,Primary energy production (petajoules),"18,950",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,759",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,432",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,728",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,985",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,625",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-11,883",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,932",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,242",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,1995,Changes in stocks (petajoules),104,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2000,Changes in stocks (petajoules),-221,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2005,Changes in stocks (petajoules),-29,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2010,Changes in stocks (petajoules),265,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2015,Changes in stocks (petajoules),78,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2018,Changes in stocks (petajoules),-38,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2019,Changes in stocks (petajoules),272,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2020,Changes in stocks (petajoules),195,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,1995,Total supply (petajoules),"3,962",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2000,Total supply (petajoules),"4,567",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2005,Total supply (petajoules),"4,790",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2010,Total supply (petajoules),"5,396",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2015,Total supply (petajoules),"5,330",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2018,Total supply (petajoules),"5,423",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2019,Total supply (petajoules),"5,447",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2020,Total supply (petajoules),"5,514",Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,1995,Supply per capita (gigajoules),220,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2000,Supply per capita (gigajoules),240,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2005,Supply per capita (gigajoules),237,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2010,Supply per capita (gigajoules),245,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2015,Supply per capita (gigajoules),224,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2018,Supply per capita (gigajoules),217,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2019,Supply per capita (gigajoules),215,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
36,Australia,2020,Supply per capita (gigajoules),215,Excluding overseas territories.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,1995,Primary energy production (petajoules),368,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2000,Primary energy production (petajoules),410,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2005,Primary energy production (petajoules),411,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2010,Primary energy production (petajoules),500,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2015,Primary energy production (petajoules),501,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2018,Primary energy production (petajoules),489,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2019,Primary energy production (petajoules),504,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2020,Primary energy production (petajoules),501,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,1995,Net imports [Imports - Exports - Bunkers] (petajoules),741,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2000,Net imports [Imports - Exports - Bunkers] (petajoules),778,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"1,006",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2010,Net imports [Imports - Exports - Bunkers] (petajoules),892,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2015,Net imports [Imports - Exports - Bunkers] (petajoules),823,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2018,Net imports [Imports - Exports - Bunkers] (petajoules),883,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"1,001",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2020,Net imports [Imports - Exports - Bunkers] (petajoules),775,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,1995,Changes in stocks (petajoules),-14,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2000,Changes in stocks (petajoules),-10,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2005,Changes in stocks (petajoules),2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2010,Changes in stocks (petajoules),-36,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2015,Changes in stocks (petajoules),-48,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2018,Changes in stocks (petajoules),-6,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2019,Changes in stocks (petajoules),107,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2020,Changes in stocks (petajoules),-44,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,1995,Total supply (petajoules),"1,123",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2000,Total supply (petajoules),"1,198",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2005,Total supply (petajoules),"1,413",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2010,Total supply (petajoules),"1,428",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2015,Total supply (petajoules),"1,372",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2018,Total supply (petajoules),"1,378",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2019,Total supply (petajoules),"1,399",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2020,Total supply (petajoules),"1,321",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,1995,Supply per capita (gigajoules),141,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2000,Supply per capita (gigajoules),150,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2005,Supply per capita (gigajoules),172,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2010,Supply per capita (gigajoules),171,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2015,Supply per capita (gigajoules),159,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2018,Supply per capita (gigajoules),156,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2019,Supply per capita (gigajoules),158,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
40,Austria,2020,Supply per capita (gigajoules),148,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,1995,Primary energy production (petajoules),628,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2000,Primary energy production (petajoules),803,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2005,Primary energy production (petajoules),"1,155",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2010,Primary energy production (petajoules),"2,759",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2015,Primary energy production (petajoules),"2,474",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2018,Primary energy production (petajoules),"2,349",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2019,Primary energy production (petajoules),"2,475",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2020,Primary energy production (petajoules),"2,412",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-91,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-319,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-547,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-2,239",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,891",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,735",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,804",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,758",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,1995,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2000,Changes in stocks (petajoules),-2,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2005,Changes in stocks (petajoules),35,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2010,Changes in stocks (petajoules),34,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2015,Changes in stocks (petajoules),-22,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2018,Changes in stocks (petajoules),7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2019,Changes in stocks (petajoules),7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2020,Changes in stocks (petajoules),10,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,1995,Total supply (petajoules),536,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2000,Total supply (petajoules),485,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2005,Total supply (petajoules),573,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2010,Total supply (petajoules),486,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2015,Total supply (petajoules),605,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2018,Total supply (petajoules),607,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2019,Total supply (petajoules),664,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2020,Total supply (petajoules),643,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,1995,Supply per capita (gigajoules),68,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2000,Supply per capita (gigajoules),59,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2005,Supply per capita (gigajoules),66,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2010,Supply per capita (gigajoules),53,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2015,Supply per capita (gigajoules),61,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2018,Supply per capita (gigajoules),60,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2019,Supply per capita (gigajoules),65,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
31,Azerbaijan,2020,Supply per capita (gigajoules),63,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
