T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2000,Primary energy production (petajoules),"36,546",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2005,Primary energy production (petajoules),"44,915",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2010,Primary energy production (petajoules),"47,355",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2015,Primary energy production (petajoules),"44,326",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2018,Primary energy production (petajoules),"46,682",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2019,Primary energy production (petajoules),"47,790",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2020,Primary energy production (petajoules),"43,879",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,023",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-15,610",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-20,440",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-19,298",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,338",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,921",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,259",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,316",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,1995,Changes in stocks (petajoules),321,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2000,Changes in stocks (petajoules),-19,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2005,Changes in stocks (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2010,Changes in stocks (petajoules),-17,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2015,Changes in stocks (petajoules),-12,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2018,Changes in stocks (petajoules),28,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2019,Changes in stocks (petajoules),150,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2020,Changes in stocks (petajoules),44,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,1995,Total supply (petajoules),"18,725",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2000,Total supply (petajoules),"20,955",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2005,Total supply (petajoules),"24,471",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2010,Total supply (petajoules),"28,074",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2015,Total supply (petajoules),"30,999",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
2,Africa,2018,Total supply (petajoules),"32,733",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
